game_id,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
20210403HTOB0,잠실,KIA,두산,canceled,nan,,,,nan,nan
20210403LTSK0,문학,롯데,SSG,canceled,nan,,,,nan,nan
20210403LGNC0,창원,LG,NC,canceled,nan,,,,nan,nan
20210403HHKT0,수원,한화,KT,canceled,nan,,,,nan,nan
20210403SSWO0,고척,삼성,키움,finished,1665,13:59,16:43,2:44,1,6
20210404HTOB0,잠실,KIA,두산,finished,2410,13:59,16:59,3:00,1,4
20210404LTSK0,문학,롯데,SSG,finished,2300,13:59,16:57,2:58,3,5
20210404LGNC0,창원,LG,NC,finished,4376,14:01,17:36,3:35,2,1
20210404HHKT0,수원,한화,KT,finished,1956,13:58,17:04,3:06,2,3
20210404SSWO0,고척,삼성,키움,finished,1655,13:59,17:23,3:24,4,7
20210406SSOB0,잠실,삼성,두산,finished,2245,18:29,21:41,3:12,3,6
20210406HHSK0,문학,한화,SSG,finished,2268,18:29,21:24,2:55,1,2
20210406LTNC0,창원,롯데,NC,finished,2327,18:30,22:29,3:59,10,5
20210406LGKT0,수원,LG,KT,finished,1956,18:31,21:11,2:40,3,2
20210406HTWO0,고척,KIA,키움,finished,1614,18:30,22:38,4:08,5,4
20210407SSOB0,잠실,삼성,두산,finished,2142,18:30,21:48,3:18,0,1
20210407HHSK0,문학,한화,SSG,finished,2264,18:29,22:24,3:55,17,0
20210407LTNC0,창원,롯데,NC,finished,2225,18:30,22:04,3:34,6,10
20210407LGKT0,수원,LG,KT,finished,1706,18:30,22:15,3:45,3,7
20210407HTWO0,고척,KIA,키움,finished,1628,18:31,23:21,4:50,8,7
20210408SSOB0,잠실,삼성,두산,finished,2273,18:30,21:38,3:08,6,1
20210408HHSK0,문학,한화,SSG,finished,2278,18:29,21:43,3:14,4,6
20210408LTNC0,창원,롯데,NC,finished,2261,18:30,22:27,3:57,8,4
20210408LGKT0,수원,LG,KT,finished,1605,18:30,21:41,3:11,7,3
20210408HTWO0,고척,KIA,키움,finished,1660,18:30,21:43,3:13,5,3
20210409OBHH0,한밭,두산,한화,finished,1300,18:29,21:15,2:46,0,7
20210409SKLG0,잠실,SSG,LG,finished,2414,18:30,22:21,3:51,5,9
20210409WOLT0,사직,키움,롯데,finished,2364,18:31,21:39,3:08,7,2
20210409KTSS0,대구,KT,삼성,finished,2724,18:31,21:29,2:58,5,7
20210409NCHT0,광주,NC,KIA,finished,3869,18:32,22:05,3:33,10,6
20210410SKLG0,잠실,SSG,LG,finished,2431,14:01,17:32,3:31,4,3
20210410KTSS0,대구,KT,삼성,finished,3813,14:00,17:17,3:17,6,7
20210410OBHH0,한밭,두산,한화,finished,1300,16:59,20:25,3:26,18,1
20210410WOLT0,사직,키움,롯데,finished,2364,16:59,20:11,3:12,0,13
20210410NCHT0,광주,NC,KIA,finished,4114,17:01,19:52,2:51,9,2
20210411OBHH0,한밭,두산,한화,finished,1300,13:59,17:22,3:23,2,3
20210411SKLG0,잠실,SSG,LG,finished,2454,14:00,16:20,2:20,0,1
20210411WOLT0,사직,키움,롯데,finished,2364,13:59,18:43,4:44,3,2
20210411KTSS0,대구,KT,삼성,finished,4658,13:59,17:16,3:17,2,4
20210411NCHT0,광주,NC,KIA,finished,4264,14:00,17:19,3:19,7,3
20210413KTOB0,잠실,KT,두산,finished,1128,18:30,22:04,3:34,8,7
20210413NCSK0,문학,NC,SSG,finished,1632,18:30,21:47,3:17,4,2
20210413HHSS0,대구,한화,삼성,finished,1363,18:29,21:38,3:09,3,4
20210413LTHT0,광주,롯데,KIA,finished,808,18:31,21:43,3:12,8,0
20210413LGWO0,고척,LG,키움,finished,1479,18:31,21:39,3:08,2,8
20210414KTOB0,잠실,KT,두산,finished,1038,18:30,21:46,3:16,1,3
20210414NCSK0,문학,NC,SSG,finished,1571,18:30,21:19,2:49,3,0
20210414HHSS0,대구,한화,삼성,finished,1564,18:30,21:30,3:00,6,2
20210414LTHT0,광주,롯데,KIA,finished,884,18:30,22:34,4:04,2,3
20210414LGWO0,고척,LG,키움,finished,1311,18:30,21:48,3:18,13,2
20210415KTOB0,잠실,KT,두산,finished,1124,18:30,22:09,3:39,8,3
20210415NCSK0,문학,NC,SSG,finished,1539,18:30,21:20,2:50,3,9
20210415HHSS0,대구,한화,삼성,finished,1728,18:30,20:52,2:22,0,4
20210415LTHT0,광주,롯데,KIA,finished,1503,18:31,22:31,4:00,5,10
20210415LGWO0,고척,LG,키움,finished,1354,18:31,21:33,3:02,6,4
20210416OBLG0,잠실,두산,LG,finished,2442,18:31,21:55,3:24,0,1
20210416HTSK0,문학,KIA,SSG,finished,2300,18:29,22:40,4:11,11,6
20210416SSLT0,사직,삼성,롯데,finished,1927,18:30,21:47,3:17,3,9
20210416WOKT0,수원,키움,KT,finished,929,18:30,21:39,3:09,4,8
20210416HHNC0,창원,한화,NC,finished,5061,19:00,22:09,3:09,1,9
20210417HTSK0,문학,KIA,SSG,finished,2300,14:00,17:42,3:42,3,4
20210417OBLG0,잠실,두산,LG,finished,2472,17:00,20:12,3:12,3,1
20210417SSLT0,사직,삼성,롯데,finished,2364,16:59,20:30,3:31,12,0
20210417HHNC0,창원,한화,NC,finished,3495,17:01,20:31,3:30,4,14
20210417WOKT0,수원,키움,KT,finished,1658,17:00,20:39,3:39,5,8
20210418OBLG0,잠실,두산,LG,finished,2472,13:59,17:52,3:53,9,1
20210418HTSK0,문학,KIA,SSG,finished,2300,14:00,17:24,3:24,2,4
20210418SSLT0,사직,삼성,롯데,finished,0,,,,0,0
20210418HHNC0,창원,한화,NC,finished,2632,14:00,17:21,3:21,11,3
20210418WOKT0,수원,키움,KT,finished,1956,13:59,17:11,3:12,2,10
20210420WOHH0,한밭,키움,한화,finished,1003,18:29,21:17,2:48,3,7
20210420HTLG0,잠실,KIA,LG,finished,2453,18:30,22:10,3:40,6,3
20210420OBLT0,사직,두산,롯데,finished,1197,18:28,21:30,3:02,5,10
20210420SKSS0,대구,SSG,삼성,finished,2104,18:29,21:49,3:20,10,7
20210420KTNC0,창원,KT,NC,finished,1229,18:30,21:44,3:14,5,2
20210421WOHH0,한밭,키움,한화,finished,1007,18:30,22:10,3:40,3,4
20210421HTLG0,잠실,KIA,LG,finished,2457,18:30,22:02,3:32,3,7
20210421OBLT0,사직,두산,롯데,finished,1278,18:29,22:12,3:43,9,10
20210421SKSS0,대구,SSG,삼성,finished,2823,18:29,21:57,3:28,4,14
20210421KTNC0,창원,KT,NC,finished,1103,18:31,21:32,3:01,3,4
20210422WOHH0,한밭,키움,한화,finished,1071,18:30,21:54,3:24,8,3
20210422HTLG0,잠실,KIA,LG,finished,2472,18:31,22:48,4:17,3,2
20210422OBLT0,사직,두산,롯데,finished,1686,18:30,21:32,3:02,13,1
20210422SKSS0,대구,SSG,삼성,finished,2636,18:29,22:20,3:51,11,6
20210422KTNC0,창원,KT,NC,finished,1393,18:30,21:38,3:08,11,5
20210423LGHH0,한밭,LG,한화,finished,1300,18:31,21:46,3:15,2,1
20210423NCOB0,잠실,NC,두산,finished,2225,18:30,21:39,3:09,1,5
20210423LTKT0,수원,롯데,KT,finished,1544,18:31,21:30,2:59,10,5
20210423SSHT0,광주,삼성,KIA,finished,1318,18:30,21:16,2:46,1,4
20210423SKWO0,고척,SSG,키움,finished,0,,,,0,0
20210424LGHH0,한밭,LG,한화,finished,1300,14:01,17:58,3:57,5,19
20210424SKWO0,고척,SSG,키움,finished,1638,14:00,17:39,3:39,5,4
20210424NCOB0,잠실,NC,두산,finished,2410,17:00,20:32,3:32,6,9
20210424LTKT0,수원,롯데,KT,finished,0,,,,0,0
20210424SSHT0,광주,삼성,KIA,finished,2808,17:01,20:32,3:31,8,4
20210425LGHH0,한밭,LG,한화,finished,1300,14:00,16:39,2:39,8,0
20210425NCOB0,잠실,NC,두산,finished,2410,14:00,17:01,3:01,10,0
20210425LTKT0,수원,롯데,KT,finished,1956,13:59,18:01,4:02,5,6
20210425SSHT0,광주,삼성,KIA,finished,2749,14:01,17:20,3:19,3,2
20210425SKWO0,고척,SSG,키움,finished,1640,14:00,17:23,3:23,3,4
20210427LTLG0,잠실,롯데,LG,finished,2347,18:30,21:32,3:02,0,4
20210427KTSK0,문학,KT,SSG,finished,1756,18:30,21:58,3:28,14,5
20210427NCSS0,대구,NC,삼성,finished,2528,18:29,21:05,2:36,0,9
20210427HHHT0,광주,한화,KIA,finished,898,18:30,21:39,3:09,3,4
20210427OBWO0,고척,두산,키움,finished,1166,18:29,21:44,3:15,4,5
20210428LTLG0,잠실,롯데,LG,finished,2455,18:30,21:31,3:01,3,0
20210428KTSK0,문학,KT,SSG,finished,1797,18:29,21:32,3:03,2,4
20210428NCSS0,대구,NC,삼성,finished,2130,18:30,21:42,3:12,3,4
20210428HHHT0,광주,한화,KIA,finished,1502,18:30,21:08,2:38,0,4
20210428OBWO0,고척,두산,키움,finished,1213,18:30,23:23,4:53,4,5
20210429LTLG0,잠실,롯데,LG,finished,2472,18:30,21:21,2:51,2,3
20210429KTSK0,문학,KT,SSG,finished,2132,18:29,21:32,3:03,6,1
20210429NCSS0,대구,NC,삼성,finished,2628,18:30,21:27,2:57,9,0
20210429HHHT0,광주,한화,KIA,finished,1478,18:30,22:39,4:09,2,3
20210429OBWO0,고척,두산,키움,finished,1394,18:30,21:30,3:00,15,4
20210430SKOB0,잠실,SSG,두산,finished,2410,18:30,21:31,3:01,4,9
20210430HHLT0,사직,한화,롯데,finished,2271,18:30,22:33,4:03,11,7
20210430LGSS0,대구,LG,삼성,finished,4161,18:30,21:30,3:00,0,4
20210430HTKT0,수원,KIA,KT,finished,1956,18:31,21:32,3:01,3,15
20210430WONC0,창원,키움,NC,finished,1909,19:00,22:34,3:34,4,3
20210501SKOB0,잠실,SSG,두산,finished,2427,17:00,21:43,4:43,5,2
20210501HHLT0,사직,한화,롯데,finished,2351,17:00,20:13,3:13,11,3
20210501LGSS0,대구,LG,삼성,finished,7033,17:00,20:06,3:06,2,8
20210501WONC0,창원,키움,NC,finished,2694,17:00,20:45,3:45,13,9
20210501HTKT0,수원,KIA,KT,finished,1956,17:11,20:13,2:45,0,3
20210502SKOB0,잠실,SSG,두산,finished,2427,14:00,17:26,3:26,5,8
20210502HHLT0,사직,한화,롯데,finished,2364,13:59,17:29,3:30,5,4
20210502LGSS0,대구,LG,삼성,finished,7033,14:01,16:49,2:48,4,6
20210502WONC0,창원,키움,NC,finished,2066,14:00,16:35,2:35,0,5
20210502HTKT0,수원,KIA,KT,finished,1956,14:00,17:04,3:04,2,9
20210504SSHH0,한밭,삼성,한화,canceled,nan,,,,nan,nan
20210504LGOB0,잠실,LG,두산,canceled,nan,,,,nan,nan
20210504HTLT0,사직,KIA,롯데,canceled,nan,,,,nan,nan
20210504SKNC0,창원,SSG,NC,canceled,nan,,,,nan,nan
20210504KTWO0,고척,KT,키움,canceled,nan,,,,nan,nan
20210505SSHH0,한밭,삼성,한화,finished,3900,14:00,17:13,3:13,4,1
20210505LGOB0,잠실,LG,두산,finished,2427,14:00,17:17,3:17,7,4
20210505HTLT0,사직,KIA,롯데,finished,2364,14:00,17:10,3:10,8,5
20210505SKNC0,창원,SSG,NC,finished,4768,14:00,18:25,4:25,13,12
20210505KTWO0,고척,KT,키움,finished,1674,14:00,16:44,2:44,0,14
20210506SSHH0,한밭,삼성,한화,finished,2522,18:29,22:16,3:47,5,6
20210506LGOB0,잠실,LG,두산,finished,2427,18:30,21:42,3:12,7,2
20210506HTLT0,사직,KIA,롯데,finished,2068,18:30,22:26,3:56,9,17
20210506SKNC0,창원,SSG,NC,finished,1980,18:30,21:25,2:55,1,7
20210506KTWO0,고척,KT,키움,finished,957,18:30,21:31,3:01,4,6
20210507HHLG0,잠실,한화,LG,canceled,nan,,,,nan,nan
20210507WOSK0,문학,키움,SSG,canceled,nan,,,,nan,nan
20210507LTSS0,대구,롯데,삼성,finished,5960,18:30,21:08,2:38,1,4
20210507NCKT0,대구,NC,KT,canceled,nan,,,,nan,nan
20210507OBHT0,대구,두산,KIA,canceled,nan,,,,nan,nan
20210508HHLG0,잠실,한화,LG,finished,2441,17:00,20:04,3:04,2,11
20210508WOSK0,문학,키움,SSG,finished,2300,16:59,19:55,2:56,9,2
20210508LTSS0,대구,롯데,삼성,finished,7033,17:00,21:07,4:07,9,8
20210508NCKT0,수원,NC,KT,finished,1566,17:00,20:49,3:49,5,4
20210508OBHT0,광주,두산,KIA,finished,2462,17:01,20:29,3:28,11,5
20210508HHLG1,광주,한화,LG,canceled,nan,,,,nan,nan
20210508WOSK1,광주,키움,SSG,canceled,nan,,,,nan,nan
20210508NCKT1,광주,NC,KT,canceled,nan,,,,nan,nan
20210508OBHT1,광주,두산,KIA,canceled,nan,,,,nan,nan
20210509LTSS0,대구,롯데,삼성,finished,7033,14:00,17:44,3:44,6,8
20210509HHLG1,잠실,한화,LG,finished,2472,14:00,16:58,2:58,1,11
20210509WOSK1,문학,키움,SSG,finished,2300,14:00,16:47,2:47,1,4
20210509NCKT1,수원,NC,KT,finished,1759,13:59,17:34,3:35,16,11
20210509OBHT1,광주,두산,KIA,finished,2646,14:00,17:26,3:26,5,3
20210509HHLG2,잠실,한화,LG,finished,2472,17:28,21:20,3:52,5,4
20210509WOSK2,문학,키움,SSG,finished,2156,17:20,21:08,3:48,3,4
20210509NCKT2,수원,NC,KT,finished,845,18:04,20:51,2:47,5,9
20210509OBHT2,광주,두산,KIA,finished,1142,17:56,21:16,3:20,9,0
20210511NCHH0,한밭,NC,한화,finished,1065,18:30,21:44,3:14,7,2
20210511WOOB0,잠실,키움,두산,finished,1606,18:31,21:45,3:14,2,3
20210511SKLT0,사직,SSG,롯데,finished,1915,18:29,21:53,3:24,7,6
20210511SSKT0,수원,삼성,KT,finished,1646,18:30,22:11,3:41,6,9
20210511LGHT0,광주,LG,KIA,finished,1047,18:30,21:49,3:19,1,7
20210512NCHH0,한밭,NC,한화,finished,1007,18:30,21:48,3:18,6,3
20210512WOOB0,잠실,키움,두산,finished,1628,18:31,21:07,2:36,3,0
20210512SKLT0,사직,SSG,롯데,finished,1529,18:30,21:55,3:25,9,2
20210512SSKT0,수원,삼성,KT,finished,1608,18:29,21:34,3:05,7,5
20210512LGHT0,광주,LG,KIA,finished,1337,18:30,22:03,3:33,3,5
20210513NCHH0,한밭,NC,한화,finished,1103,18:30,22:02,3:32,4,2
20210513WOOB0,잠실,키움,두산,finished,1896,18:31,22:39,4:08,14,13
20210513SKLT0,사직,SSG,롯데,finished,1823,18:29,21:56,3:27,4,5
20210513SSKT0,수원,삼성,KT,finished,1956,18:30,21:43,3:13,4,0
20210513LGHT0,광주,LG,KIA,finished,1168,18:30,21:54,3:24,8,3
20210514SSLG0,잠실,삼성,LG,finished,2472,18:30,21:13,2:43,3,4
20210514OBSK0,문학,두산,SSG,finished,2300,18:29,22:10,3:41,6,3
20210514KTLT0,사직,KT,롯데,finished,1816,18:30,21:38,3:08,9,1
20210514HHWO0,고척,한화,키움,finished,1563,18:30,22:06,3:36,6,1
20210514HTNC0,창원,KIA,NC,finished,2329,19:00,22:25,3:25,2,5
20210515HTNC0,창원,KIA,NC,finished,1590,14:00,17:07,3:07,3,7
20210515HHWO0,고척,한화,키움,finished,1674,14:00,17:20,3:20,1,15
20210515SSLG0,잠실,삼성,LG,finished,2455,17:40,20:55,3:15,4,14
20210515OBSK0,잠실,두산,SSG,canceled,nan,,,,nan,nan
20210515KTLT0,사직,KT,롯데,finished,1365,16:59,20:23,3:24,5,4
20210516SSLG0,잠실,삼성,LG,canceled,nan,,,,nan,nan
20210516KTLT0,사직,KT,롯데,canceled,nan,,,,nan,nan
20210516HTNC0,창원,KIA,NC,canceled,nan,,,,nan,nan
20210516HHWO0,고척,한화,키움,finished,1674,14:00,16:29,2:29,1,5
20210516OBSK0,고척,두산,SSG,canceled,nan,,,,nan,nan
20210516OBSK1,고척,두산,SSG,canceled,nan,,,,nan,nan
20210517SSLG0,잠실,삼성,LG,finished,1975,18:30,21:37,3:07,3,1
20210517OBSK0,문학,두산,SSG,finished,1664,18:30,21:52,3:22,8,3
20210517KTLT0,문학,KT,롯데,canceled,nan,,,,nan,nan
20210517HTNC0,문학,KIA,NC,canceled,nan,,,,nan,nan
20210518LTHH0,한밭,롯데,한화,finished,1927,18:30,21:58,3:28,4,3
20210518NCLG0,잠실,NC,LG,finished,2428,18:30,21:48,3:18,0,1
20210518WOSS0,대구,키움,삼성,finished,4225,18:31,21:57,3:26,15,3
20210518OBKT0,수원,두산,KT,finished,1722,18:31,21:31,3:00,0,1
20210518SKHT0,광주,SSG,KIA,finished,2446,18:29,21:56,3:27,7,5
20210519LTHH0,한밭,롯데,한화,finished,3900,14:00,17:08,3:08,2,12
20210519NCLG0,잠실,NC,LG,finished,2472,14:00,17:40,3:40,5,6
20210519WOSS0,대구,키움,삼성,finished,7033,14:00,17:15,3:15,9,2
20210519OBKT0,수원,두산,KT,finished,1956,13:59,17:10,3:11,5,6
20210519SKHT0,광주,SSG,KIA,finished,3378,13:59,17:48,3:49,11,5
20210520LTHH0,한밭,롯데,한화,canceled,nan,,,,nan,nan
20210520NCLG0,잠실,NC,LG,finished,1929,18:30,21:17,2:47,11,1
20210520WOSS0,잠실,키움,삼성,canceled,nan,,,,nan,nan
20210520OBKT0,잠실,두산,KT,canceled,nan,,,,nan,nan
20210520SKHT0,잠실,SSG,KIA,canceled,nan,,,,nan,nan
20210521KTHH0,한밭,KT,한화,finished,948,18:30,21:45,3:15,0,4
20210521LTOB0,잠실,롯데,두산,finished,2427,18:31,21:26,2:55,9,1
20210521LGSK0,문학,LG,SSG,finished,2300,18:31,22:32,4:01,5,6
20210521HTSS0,대구,KIA,삼성,finished,3495,18:30,21:48,3:18,3,5
20210521NCWO0,고척,NC,키움,finished,1009,18:30,21:17,2:47,0,2
20210522KTHH0,한밭,KT,한화,finished,3103,17:00,19:53,2:53,0,5
20210522LTOB0,잠실,롯데,두산,finished,2427,17:00,20:38,3:38,3,4
20210522LGSK0,문학,LG,SSG,finished,2300,17:00,20:00,3:00,3,8
20210522HTSS0,대구,KIA,삼성,finished,7033,17:00,20:02,3:02,9,4
20210522NCWO0,고척,NC,키움,finished,1674,17:00,20:22,3:22,6,13
20210523KTHH0,한밭,KT,한화,finished,2516,14:00,17:53,3:53,8,1
20210523LTOB0,잠실,롯데,두산,finished,2427,14:00,17:03,3:03,0,4
20210523LGSK0,문학,LG,SSG,finished,2300,14:00,17:02,3:02,0,8
20210523HTSS0,대구,KIA,삼성,finished,6780,14:00,17:25,3:25,5,7
20210523NCWO0,고척,NC,키움,finished,1618,14:00,17:28,3:28,4,7
20210525HHOB0,잠실,한화,두산,canceled,nan,,,,nan,nan
20210525LGLT0,사직,LG,롯데,canceled,nan,,,,nan,nan
20210525SSNC0,창원,삼성,NC,canceled,nan,,,,nan,nan
20210525SKKT0,수원,SSG,KT,canceled,nan,,,,nan,nan
20210525WOHT0,광주,키움,KIA,canceled,nan,,,,nan,nan
20210526HHOB0,잠실,한화,두산,finished,2385,18:30,22:07,3:37,3,9
20210526LGLT0,사직,LG,롯데,finished,1536,18:31,21:42,3:11,5,3
20210526SSNC0,창원,삼성,NC,finished,2199,18:30,21:36,3:06,7,1
20210526SKKT0,수원,SSG,KT,finished,1420,18:31,23:31,5:00,9,5
20210526WOHT0,광주,키움,KIA,finished,1003,18:29,21:02,2:33,2,3
20210527HHOB0,잠실,한화,두산,finished,2085,18:31,21:53,3:22,3,0
20210527LGLT0,사직,LG,롯데,finished,1310,18:30,21:41,3:11,8,1
20210527SSNC0,창원,삼성,NC,finished,1763,18:30,21:43,3:13,3,6
20210527SKKT0,수원,SSG,KT,finished,1141,18:30,22:27,3:57,5,6
20210527WOHT0,광주,키움,KIA,finished,1047,18:29,21:52,3:23,4,5
20210528SKHH0,한밭,SSG,한화,finished,1663,18:30,22:12,3:42,12,3
20210528WOLG0,잠실,키움,LG,finished,2409,18:30,21:32,3:02,1,3
20210528NCLT0,잠실,NC,롯데,canceled,nan,,,,nan,nan
20210528OBSS0,대구,두산,삼성,finished,4027,18:32,21:56,3:24,9,4
20210528KTHT0,광주,KT,KIA,finished,1032,18:29,22:28,3:59,6,7
20210529SKHH0,한밭,SSG,한화,finished,3900,17:00,20:37,3:37,6,2
20210529WOLG0,잠실,키움,LG,finished,2429,17:00,20:51,3:51,7,2
20210529OBSS0,대구,두산,삼성,finished,7033,17:00,20:33,3:33,4,16
20210529KTHT0,광주,KT,KIA,finished,2352,16:59,21:10,4:11,7,5
20210529NCLT1,사직,NC,롯데,finished,1544,13:59,17:28,3:29,10,10
20210529NCLT2,사직,NC,롯데,finished,3527,18:02,21:07,3:05,6,2
20210530SKHH0,한밭,SSG,한화,finished,2987,14:01,17:33,3:32,5,1
20210530WOLG0,잠실,키움,LG,finished,2472,14:00,16:43,2:43,2,8
20210530NCLT0,사직,NC,롯데,finished,2874,14:00,17:49,3:49,5,4
20210530OBSS0,대구,두산,삼성,finished,6500,14:00,17:03,3:03,4,2
20210530KTHT0,광주,KT,KIA,finished,3179,14:00,16:57,2:57,4,3
20210601HTHH0,한밭,KIA,한화,finished,1133,18:30,21:45,3:15,1,9
20210601KTLG0,잠실,KT,LG,finished,1656,18:30,21:21,2:51,8,1
20210601SSSK0,문학,삼성,SSG,finished,2300,18:30,21:02,2:32,0,1
20210601OBNC0,창원,두산,NC,finished,1414,18:30,21:52,3:22,4,3
20210601LTWO0,고척,롯데,키움,finished,1090,18:30,21:27,2:57,3,0
20210602HTHH0,한밭,KIA,한화,finished,1474,18:30,22:02,3:32,5,3
20210602KTLG0,잠실,KT,LG,finished,1820,18:30,21:17,2:47,5,6
20210602SSSK0,문학,삼성,SSG,finished,2300,18:30,22:23,3:53,8,7
20210602OBNC0,창원,두산,NC,finished,1354,18:31,21:54,3:23,5,9
20210602LTWO0,고척,롯데,키움,finished,1048,18:30,21:17,2:47,4,2
20210603HTHH0,한밭,KIA,한화,canceled,nan,,,,nan,nan
20210603KTLG0,잠실,KT,LG,canceled,nan,,,,nan,nan
20210603SSSK0,문학,삼성,SSG,canceled,nan,,,,nan,nan
20210603OBNC0,창원,두산,NC,canceled,nan,,,,nan,nan
20210603LTWO0,고척,롯데,키움,finished,1197,18:30,21:48,3:18,4,9
20210604SKOB0,잠실,SSG,두산,finished,2427,18:31,21:46,3:15,2,3
