YEAR,PLAYER_ID,PLAYER_NAME,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
2021,74540,강민호,9.70%,11.60%,0.83,0.359,0.474,0.833,0.186,1.1,0.291,-0.2,70,12.9,0.379,123
2021,68050,강백호,16.30%,13.60%,1.2,0.448,0.519,0.968,0.173,3.1,0.385,-0.5,126,48.9,0.442,163
2021,63123,강승호,6.50%,22.90%,0.28,0.301,0.375,0.677,0.136,6.3,0.297,0.6,34,-7.9,0.315,81
2021,62925,강진성,7.80%,14.70%,0.53,0.33,0.35,0.679,0.101,4,0.282,0.8,49,-7.4,0.324,87
2021,64610,강한울,11.20%,22.40%,0.5,0.34,0.281,0.621,0.022,2.3,0.343,-0.6,24,-7.7,0.306,76
2021,62404,구자욱,8.00%,16.00%,0.5,0.361,0.516,0.877,0.212,8.2,0.329,3.5,100,24.3,0.394,132
2021,71837,김강민,9.60%,20.00%,0.48,0.327,0.404,0.73,0.166,5,0.271,-0.8,31,-0.9,0.34,97
2021,66838,김동엽,4.90%,20.70%,0.24,0.286,0.351,0.637,0.114,3.1,0.28,-0.1,17,-7.6,0.297,70
2021,77564,김민성,9.90%,17.10%,0.58,0.313,0.35,0.663,0.128,2.1,0.254,-0.8,42,-10.3,0.314,80
2021,67504,김민수,8.00%,27.70%,0.29,0.312,0.352,0.664,0.111,2.5,0.333,-0.5,22,-5.2,0.315,81
2021,62864,김민식,13.60%,16.30%,0.84,0.336,0.288,0.624,0.068,1.3,0.259,-0.1,29,-8.5,0.308,77
2021,79402,김상수,10.50%,10.30%,1.02,0.32,0.301,0.62,0.065,3.2,0.259,-0.2,44,-16.4,0.302,73
2021,78603,김선빈,9.90%,6.90%,1.44,0.375,0.401,0.776,0.094,1,0.323,-0.2,79,9.4,0.365,114
2021,76802,김성현,10.60%,10.60%,1,0.356,0.426,0.782,0.143,3.3,0.296,0.5,38,4.2,0.363,113
2021,65898,김웅빈,12.20%,26.20%,0.47,0.357,0.384,0.741,0.142,2.6,0.323,-0.3,36,1.6,0.351,105
2021,63257,김인태,14.80%,16.00%,0.93,0.373,0.378,0.751,0.119,2.2,0.297,-1,57,5.3,0.36,110
2021,74206,김재호,11.60%,13.50%,0.85,0.306,0.261,0.567,0.052,2.2,0.24,-0.3,19,-12.3,0.282,60
2021,78224,김재환,14.30%,22.40%,0.64,0.382,0.501,0.883,0.227,3.1,0.316,-1.1,96,26.5,0.403,138
2021,50458,김지찬,8.00%,9.10%,0.87,0.331,0.304,0.636,0.03,6,0.3,2.7,32,-9.8,0.308,77
2021,78122,김태군,7.60%,10.90%,0.7,0.31,0.339,0.649,0.12,1.4,0.221,-0.5,27,-7.2,0.311,79
2021,66704,김태연,15.50%,20.00%,0.77,0.418,0.42,0.839,0.119,3.2,0.373,-0.8,36,9.4,0.398,135
2021,64984,김태진,5.60%,15.50%,0.36,0.314,0.341,0.655,0.066,5.5,0.325,-0.7,39,-12.1,0.307,76
2021,61404,김헌곤,9.30%,13.10%,0.71,0.353,0.354,0.707,0.075,3.8,0.313,-0.9,43,-1.8,0.338,96
2021,76290,김현수,12.90%,7.10%,1.83,0.376,0.435,0.811,0.15,2.4,0.279,0.2,88,15,0.376,120
2021,67304,김혜성,10.20%,15.30%,0.67,0.372,0.367,0.738,0.063,7,0.356,7.2,81,3,0.35,104
2021,62947,나성범,6.10%,24.90%,0.25,0.335,0.509,0.844,0.228,2.9,0.329,-0.4,95,18.6,0.382,124
2021,69737,노시환,15.90%,23.40%,0.68,0.386,0.466,0.852,0.195,3.6,0.328,0.4,73,16.3,0.389,129
2021,62931,노진혁,10.90%,23.40%,0.47,0.374,0.427,0.801,0.139,1.7,0.37,-0.4,57,9.7,0.376,121
2021,50165,라모스,8.80%,21.00%,0.42,0.317,0.422,0.739,0.178,1.2,0.276,-0.1,25,-0.2,0.343,99
2021,67872,로맥,14.00%,19.70%,0.71,0.34,0.425,0.765,0.2,2.2,0.235,0.1,56,4.2,0.356,108
2021,62234,류지혁,12.80%,14.10%,0.91,0.385,0.33,0.714,0.051,1.4,0.325,-0.1,42,1.6,0.35,104
2021,50506,마차도,10.80%,12.10%,0.89,0.359,0.361,0.719,0.082,4.3,0.31,-0.8,66,-0.4,0.343,99
2021,69102,문보경,14.00%,19.50%,0.72,0.337,0.363,0.701,0.133,3.6,0.269,0.1,38,-2.7,0.334,93
2021,79215,박건우,9.50%,13.70%,0.69,0.4,0.441,0.841,0.116,5.7,0.37,2.4,85,20.4,0.393,132
2021,73113,박경수,12.00%,27.60%,0.44,0.297,0.343,0.64,0.153,1.2,0.239,-0.5,26,-9.1,0.304,74
2021,64468,박계범,11.40%,17.70%,0.65,0.368,0.357,0.725,0.09,3.5,0.321,-0.7,49,1.9,0.35,104
2021,79365,박동원,11.00%,23.70%,0.46,0.342,0.458,0.8,0.208,2.6,0.289,0.3,69,9.6,0.369,116
2021,62907,박민우,10.20%,10.70%,0.96,0.36,0.339,0.699,0.078,7.8,0.291,1,26,-0.8,0.339,97
2021,75125,박병호,9.90%,29.60%,0.33,0.323,0.43,0.753,0.203,1,0.286,-0.1,59,0.6,0.346,101
2021,74465,박석민,13.20%,21.00%,0.63,0.361,0.48,0.841,0.222,1.3,0.283,-0.1,32,6.6,0.385,126
2021,67893,박성한,10.40%,15.50%,0.67,0.377,0.388,0.765,0.086,4.1,0.358,0,65,7.5,0.364,113
2021,62244,박세혁,8.10%,15.90%,0.51,0.296,0.27,0.566,0.051,3.5,0.264,-0.2,19,-14.2,0.277,57
2021,66928,박준영,8.60%,29.20%,0.29,0.301,0.337,0.638,0.128,5,0.28,-0.6,29,-9.6,0.306,75
2021,64646,박찬호,11.20%,15.10%,0.74,0.331,0.313,0.644,0.067,5.3,0.294,-0.1,47,-12.2,0.312,79
2021,62415,박해민,12.80%,15.00%,0.85,0.382,0.374,0.756,0.085,5.4,0.337,-0.2,74,7.2,0.361,111
2021,64166,배정대,10.90%,22.20%,0.49,0.351,0.376,0.727,0.119,5.2,0.322,1,74,0.6,0.345,101
2021,78168,서건창,11.50%,13.00%,0.88,0.35,0.343,0.693,0.09,4.8,0.286,0.4,69,-5.1,0.333,93
2021,77532,손아섭,10.00%,11.00%,0.91,0.39,0.397,0.787,0.077,4.5,0.359,-0.5,89,14,0.373,119
2021,65357,송성문,9.10%,15.30%,0.6,0.32,0.371,0.691,0.122,2.1,0.278,-0.1,30,-3.9,0.326,88
2021,65362,송우현,9.90%,17.40%,0.57,0.37,0.416,0.786,0.12,3.4,0.357,-0.3,40,5.4,0.368,116
2021,62556,신본기,10.70%,21.80%,0.49,0.333,0.299,0.632,0.063,2.6,0.31,-0.7,20,-5.3,0.311,79
2021,64006,심우준,6.90%,14.30%,0.48,0.323,0.371,0.694,0.102,5.9,0.302,0.4,50,-6.8,0.325,88
2021,51203,안재석,7.10%,23.70%,0.3,0.317,0.345,0.662,0.09,5,0.329,0.1,22,-5.5,0.313,80
2021,79608,안치홍,10.60%,11.80%,0.9,0.379,0.458,0.838,0.152,2.8,0.329,-2.2,76,16.1,0.386,127
2021,51004,알몬테,8.80%,20.00%,0.44,0.336,0.404,0.74,0.133,1.6,0.318,0.1,31,0.4,0.346,101
2021,50923,알테어,10.10%,27.60%,0.37,0.358,0.514,0.872,0.242,5.5,0.33,1.6,92,22.9,0.395,133
2021,64153,양석환,7.70%,24.90%,0.31,0.337,0.49,0.827,0.217,1.8,0.317,-1.1,80,13.2,0.374,120
2021,76232,양의지,12.10%,10.50%,1.15,0.414,0.581,0.995,0.256,2.8,0.315,-0.2,116,45.6,0.445,165
2021,75334,오재일,11.90%,21.90%,0.54,0.365,0.509,0.874,0.225,1.8,0.319,0,78,18.1,0.391,130
2021,79109,오지환,10.20%,15.40%,0.66,0.335,0.356,0.691,0.101,4.5,0.29,-0.4,59,-6.2,0.329,91
2021,60558,오태곤,5.50%,20.60%,0.27,0.313,0.426,0.739,0.157,5.4,0.309,0,30,-0.6,0.341,98
2021,61102,유강남,5.70%,17.00%,0.33,0.317,0.375,0.693,0.123,2.1,0.284,-0.2,48,-6.4,0.326,88
2021,74339,유한준,12.90%,10.60%,1.22,0.405,0.413,0.817,0.108,1.7,0.329,0.1,53,10.6,0.383,125
2021,71564,이대호,7.30%,10.80%,0.68,0.342,0.448,0.79,0.162,0.4,0.283,-0.2,63,6.4,0.361,111
2021,76849,이명기,15.90%,11.60%,1.37,0.41,0.387,0.798,0.094,3.6,0.333,-0.2,36,7.7,0.386,127
2021,64266,이성곤,13.90%,25.50%,0.55,0.377,0.374,0.75,0.109,3.5,0.372,-1.4,28,2.8,0.361,111
2021,74163,이용규,13.00%,8.40%,1.54,0.392,0.373,0.764,0.076,7.3,0.323,2.3,77,9.4,0.366,114
2021,75566,이원석,12.50%,17.20%,0.73,0.34,0.346,0.686,0.116,2.1,0.263,0.2,54,-5.9,0.329,90
2021,76812,이재원,9.30%,15.00%,0.62,0.358,0.362,0.72,0.081,1.5,0.327,-1,37,-1.1,0.34,97
2021,67341,이정후,11.40%,6.80%,1.68,0.438,0.522,0.959,0.162,5.4,0.373,0.5,108,41.4,0.44,162
2021,79456,이지영,7.40%,6.60%,1.12,0.328,0.305,0.633,0.03,4.5,0.292,0.3,23,-8.6,0.302,73
2021,64560,이창진,12.30%,18.40%,0.67,0.308,0.285,0.593,0.076,5.2,0.251,0.9,24,-12.2,0.291,66
2021,61186,이천웅,11.80%,10.90%,1.09,0.305,0.271,0.575,0.072,3.1,0.217,-0.3,16,-9.7,0.286,63
2021,78135,이형종,12.10%,23.10%,0.52,0.332,0.389,0.721,0.172,3.5,0.256,0.5,34,-0.6,0.341,98
2021,78548,장성우,13.00%,15.10%,0.86,0.335,0.371,0.706,0.142,1.4,0.244,-0.8,53,-3.8,0.334,93
2021,63202,장승현,9.00%,23.70%,0.38,0.332,0.322,0.654,0.09,1.2,0.31,-0.1,22,-4.2,0.319,84
2021,63700,장운호,10.70%,22.80%,0.47,0.332,0.27,0.603,0.035,2.6,0.318,-1.7,30,-11.6,0.301,72
2021,65586,전병우,12.60%,31.80%,0.4,0.319,0.308,0.627,0.121,4.1,0.27,0.1,25,-7.1,0.31,78
2021,78513,전준우,8.60%,11.50%,0.75,0.405,0.469,0.874,0.121,3.1,0.384,-0.4,106,30.2,0.406,140
2021,79231,정수빈,8.30%,14.20%,0.58,0.326,0.374,0.699,0.115,6.5,0.298,-0.8,39,-4.5,0.328,90
2021,68743,정은원,17.30%,17.30%,1,0.407,0.384,0.791,0.101,5.5,0.346,-1.3,93,18,0.381,124
2021,79150,정주현,11.20%,15.00%,0.75,0.327,0.337,0.664,0.099,4.2,0.274,-0.8,22,-4.1,0.32,84
2021,61869,정진기,4.90%,18.90%,0.26,0.265,0.358,0.622,0.135,5,0.25,-0.2,16,-9,0.289,65
2021,60523,정훈,12.10%,15.90%,0.76,0.38,0.438,0.819,0.146,4.1,0.332,1.2,84,15.2,0.378,122
2021,64868,조용호,14.50%,16.40%,0.88,0.348,0.271,0.62,0.037,4.4,0.288,-1.7,50,-13.4,0.311,79
2021,79192,채은성,8.50%,17.90%,0.48,0.359,0.452,0.812,0.176,3.1,0.305,-0.2,66,10.7,0.374,119
2021,66606,최원준,9.10%,10.20%,0.9,0.37,0.372,0.742,0.076,6.5,0.327,2.9,88,5.8,0.355,107
2021,78288,최재훈,15.40%,14.60%,1.06,0.405,0.387,0.791,0.112,2.3,0.317,-0.5,71,13.7,0.381,124
2021,75847,최정,15.10%,18.40%,0.82,0.41,0.562,0.972,0.284,3.9,0.277,-0.4,109,40.5,0.436,159
2021,69992,최정원,7.60%,16.80%,0.45,0.35,0.321,0.671,0.038,6.6,0.349,-1.2,26,-3.4,0.326,88
2021,76267,최주환,11.30%,17.90%,0.63,0.353,0.429,0.782,0.172,1.9,0.281,-0.2,65,7,0.363,112
2021,50854,최지훈,9.60%,13.30%,0.72,0.342,0.362,0.704,0.1,7.2,0.297,2.4,62,-3.8,0.335,94
2021,72443,최형우,15.00%,15.00%,1,0.354,0.375,0.73,0.142,1.8,0.253,-0.1,54,-1.2,0.341,98
2021,51817,추신수,17.80%,21.20%,0.84,0.409,0.451,0.86,0.187,5.3,0.315,0.8,98,27,0.403,138
2021,68362,추재현,8.70%,19.00%,0.46,0.336,0.366,0.702,0.115,3.4,0.305,-0.6,35,-2.1,0.335,94
2021,51309,크레익,8.10%,17.40%,0.47,0.32,0.383,0.703,0.135,1.6,0.282,-0.5,27,-3,0.329,90
2021,69652,터커,11.30%,12.20%,0.92,0.334,0.35,0.684,0.113,1.3,0.258,-0.2,59,-6.8,0.328,90
2021,51714,페레즈,6.70%,20.60%,0.33,0.321,0.409,0.73,0.142,3.8,0.316,-1.5,29,-1.5,0.337,95
2021,69209,페르난데스,10.50%,5.70%,1.86,0.391,0.443,0.833,0.128,1.4,0.313,-1.1,97,21.7,0.388,129
2021,51463,피렐라,9.30%,14.20%,0.65,0.358,0.493,0.851,0.209,4.5,0.293,-0.8,99,22.2,0.389,129
2021,62700,하주석,8.60%,22.70%,0.38,0.346,0.392,0.739,0.12,6.1,0.347,1.8,75,1.8,0.348,102
2021,68525,한동희,12.30%,19.20%,0.64,0.364,0.443,0.807,0.177,1.2,0.304,-0.6,73,12.3,0.375,120
2021,63722,한승택,11.70%,25.50%,0.46,0.321,0.296,0.616,0.079,0.8,0.295,-0.1,22,-7.6,0.304,74
2021,62895,한유섬,11.60%,18.50%,0.63,0.373,0.534,0.907,0.256,2.4,0.287,0,90,26.3,0.408,141
2021,79240,허경민,6.90%,6.80%,1.03,0.338,0.365,0.703,0.088,3.3,0.29,-1.8,59,-4.6,0.333,93
2021,68730,호잉,8.80%,18.20%,0.48,0.31,0.412,0.722,0.176,4.1,0.252,0,33,-3.2,0.33,91
2021,66108,홍창기,16.70%,14.60%,1.15,0.456,0.408,0.865,0.08,5,0.393,0.8,118,37.6,0.417,147
2021,65610,황대인,5.80%,20.10%,0.29,0.283,0.418,0.702,0.181,1.7,0.255,-0.1,32,-6,0.319,84
2021,76313,황재균,9.20%,18.20%,0.51,0.357,0.399,0.756,0.11,5,0.342,0.7,67,4.5,0.355,107
2021,51725,힐리,6.00%,21.60%,0.28,0.306,0.394,0.7,0.137,3.4,0.308,-0.1,29,-4,0.325,88
2022,74540,강민호,9.20%,13.10%,0.71,0.33,0.409,0.739,0.152,1.2,0.271,-0.2,54,2.3,0.337,104
2022,68050,강백호,8.70%,16.70%,0.52,0.312,0.371,0.683,0.127,1,0.275,-0.1,27,-3.4,0.314,89
2022,63123,강승호,6.00%,20.50%,0.29,0.31,0.399,0.708,0.135,4.6,0.316,0.3,54,-2.4,0.325,96
2022,64610,강한울,7.90%,19.00%,0.42,0.375,0.398,0.773,0.075,4.1,0.402,-0.2,35,5.6,0.36,119
2022,69517,고승민,9.50%,17.90%,0.53,0.381,0.453,0.834,0.137,2.8,0.377,-1.6,41,10.7,0.384,135
2022,62404,구자욱,6.10%,19.00%,0.32,0.338,0.399,0.736,0.108,6.5,0.354,1.5,54,2.6,0.338,105
2022,63963,권희동,11.10%,15.70%,0.7,0.331,0.315,0.646,0.092,3.5,0.253,-0.2,28,-4.3,0.311,87
2022,71837,김강민,8.90%,19.30%,0.46,0.375,0.449,0.824,0.146,2.1,0.363,-1.2,31,7.2,0.377,130
2022,52605,김도영,8.70%,24.40%,0.35,0.312,0.362,0.674,0.125,8.5,0.313,1.2,26,-3.3,0.314,89
2022,62864,김민식,12.00%,16.90%,0.71,0.32,0.297,0.618,0.077,2.5,0.264,-0.2,24,-7.1,0.296,77
2022,64004,김민혁,8.50%,14.30%,0.6,0.349,0.322,0.671,0.038,3.7,0.338,-2.8,46,-4.5,0.318,91
2022,79402,김상수,6.90%,16.90%,0.41,0.305,0.323,0.628,0.072,3.2,0.298,-0.2,23,-7.2,0.295,76
2022,78603,김선빈,11.10%,8.00%,1.38,0.373,0.35,0.724,0.063,3.5,0.31,1.4,75,6.3,0.345,109
2022,76802,김성현,8.60%,10.00%,0.86,0.295,0.275,0.57,0.056,3.4,0.24,-1.2,26,-15.6,0.274,63
2022,63257,김인태,14.70%,16.80%,0.87,0.366,0.336,0.702,0.089,1.9,0.29,0,34,1.5,0.338,105
2022,66715,김인환,5.60%,25.90%,0.22,0.305,0.417,0.722,0.156,2.6,0.32,0.2,49,-1,0.328,98
2022,74206,김재호,10.60%,12.50%,0.85,0.304,0.26,0.564,0.045,1.9,0.244,-0.6,19,-11.5,0.275,63
2022,78224,김재환,11.80%,25.70%,0.46,0.34,0.46,0.8,0.212,2.7,0.297,-0.3,73,12.6,0.362,121
2022,51907,김주원,9.20%,27.30%,0.34,0.334,0.392,0.726,0.165,6.3,0.299,0.6,40,2.3,0.34,106
2022,63920,김준완,16.10%,17.80%,0.9,0.337,0.243,0.58,0.054,3.5,0.238,-0.5,35,-11.3,0.294,76
2022,62558,김준태,12.20%,28.50%,0.43,0.36,0.403,0.762,0.13,3.8,0.386,0.2,36,4.6,0.353,115
2022,50458,김지찬,10.50%,14.90%,0.7,0.36,0.332,0.693,0.053,8,0.337,3.5,50,-0.3,0.33,99
2022,78122,김태군,7.20%,14.50%,0.5,0.358,0.38,0.739,0.083,2.2,0.343,0.1,30,2.5,0.345,109
2022,66704,김태연,10.30%,22.80%,0.45,0.325,0.337,0.662,0.097,2.4,0.305,-0.5,48,-6.4,0.313,88
2022,64984,김태진,6.20%,10.90%,0.57,0.315,0.295,0.61,0.028,3.5,0.302,-0.8,23,-8.7,0.29,73
2022,61404,김헌곤,3.80%,9.20%,0.41,0.224,0.241,0.465,0.049,3.6,0.206,0.1,7,-20.8,0.218,25
2022,76290,김현수,11.80%,10.30%,1.15,0.375,0.473,0.848,0.187,2.8,0.287,-0.4,96,25.1,0.385,136
2022,51417,김현준,10.70%,19.00%,0.56,0.365,0.35,0.715,0.074,5.6,0.353,0.1,52,3.1,0.34,106
2022,67304,김혜성,8.30%,14.70%,0.57,0.373,0.403,0.776,0.085,7.3,0.37,3.5,78,12.1,0.359,118
2022,51344,김휘집,9.90%,29.30%,0.34,0.326,0.336,0.662,0.114,2.2,0.308,-0.2,41,-4.6,0.316,90
2022,62947,나성범,9.90%,21.10%,0.47,0.402,0.508,0.91,0.188,4,0.388,0.4,116,40.8,0.412,154
2022,63704,노수광,8.90%,29.60%,0.3,0.299,0.362,0.661,0.133,7,0.329,0.6,35,-7.2,0.305,83
2022,69737,노시환,9.80%,19.40%,0.51,0.355,0.382,0.738,0.101,3.7,0.344,0.1,62,5.1,0.344,109
2022,62931,노진혁,10.00%,23.30%,0.43,0.353,0.455,0.807,0.174,2.3,0.342,0.2,65,12.4,0.366,124
2022,52806,라가레스,6.90%,8.90%,0.78,0.362,0.464,0.826,0.149,3.2,0.319,0.1,30,6.8,0.374,129
2022,52547,렉스,10.40%,17.50%,0.59,0.41,0.495,0.906,0.165,4.3,0.381,0.4,45,15.8,0.412,154
2022,62234,류지혁,11.70%,17.40%,0.67,0.371,0.348,0.719,0.072,4.4,0.342,-0.4,60,4.6,0.343,108
2022,52904,마티니,8.90%,14.90%,0.59,0.366,0.463,0.829,0.165,4.1,0.328,0.6,87,20,0.376,130
2022,69102,문보경,10.10%,12.00%,0.84,0.382,0.451,0.833,0.135,4.8,0.342,1.1,72,18,0.381,133
2022,68119,문성주,13.10%,9.20%,1.42,0.401,0.422,0.823,0.119,5,0.325,-1,61,15.8,0.383,135
2022,79215,박건우,9.50%,13.40%,0.71,0.408,0.458,0.867,0.123,2.5,0.375,-1,79,24.9,0.4,146
2022,79365,박동원,10.10%,21.30%,0.47,0.334,0.436,0.77,0.195,2.1,0.275,0,59,7.2,0.352,114
2022,62907,박민우,9.30%,12.20%,0.76,0.351,0.359,0.71,0.092,5.9,0.299,2.3,53,0,0.331,100
2022,75125,박병호,8.20%,26.90%,0.31,0.349,0.559,0.909,0.284,3,0.309,-0.5,84,27.2,0.403,148
2022,67893,박성한,10.60%,14.40%,0.74,0.375,0.374,0.749,0.077,4.5,0.351,-1.5,75,9.3,0.352,114
2022,62244,박세혁,8.20%,17.70%,0.46,0.32,0.316,0.636,0.068,2.5,0.299,-0.7,38,-9.2,0.301,80
2022,62802,박승욱,7.00%,30.30%,0.23,0.292,0.298,0.59,0.071,7.2,0.344,0.7,18,-8.9,0.28,66
2022,50709,박정현,5.50%,25.50%,0.21,0.289,0.317,0.606,0.073,5.5,0.322,0.7,18,-7.9,0.284,69
2022,66928,박준영,11.30%,22.50%,0.5,0.308,0.322,0.63,0.106,5.4,0.272,0.4,22,-5.7,0.3,79
2022,64646,박찬호,10.10%,11.80%,0.85,0.344,0.341,0.685,0.069,5.9,0.303,4.7,63,-3.2,0.324,95
2022,62415,박해민,6.90%,13.40%,0.52,0.347,0.368,0.715,0.079,7.3,0.332,1.9,76,1.4,0.334,102
2022,64166,배정대,9.40%,21.90%,0.43,0.339,0.352,0.691,0.087,5.1,0.339,1.8,65,-2.4,0.325,96
2022,78168,서건창,8.10%,17.80%,0.45,0.299,0.306,0.605,0.082,6.2,0.27,0.2,21,-8.1,0.288,72
2022,69995,서호철,5.60%,19.20%,0.29,0.265,0.272,0.537,0.067,4.6,0.25,0.1,13,-12.2,0.257,51
2022,52630,소크라테스,6.10%,14.60%,0.42,0.354,0.494,0.848,0.183,6,0.34,-0.4,86,21.4,0.381,133
2022,77532,손아섭,9.60%,12.30%,0.78,0.347,0.367,0.714,0.089,4.5,0.312,-0.2,73,1.1,0.333,101
2022,65357,송성문,7.50%,10.80%,0.69,0.302,0.371,0.673,0.124,2.9,0.256,-0.7,59,-11.5,0.306,84
2022,64006,심우준,9.60%,16.70%,0.57,0.316,0.302,0.617,0.062,7.2,0.284,3.5,40,-12.4,0.295,76
2022,50202,안권수,9.70%,15.00%,0.65,0.368,0.343,0.712,0.046,4.5,0.357,-1.2,33,1.6,0.339,105
2022,51203,안재석,7.20%,26.90%,0.27,0.281,0.294,0.574,0.081,3.9,0.288,0.7,19,-12.1,0.271,61
2022,79608,안치홍,9.10%,9.30%,0.98,0.354,0.436,0.79,0.152,4.4,0.292,0.3,78,12.8,0.36,120
2022,52009,알포드,10.20%,27.90%,0.37,0.362,0.509,0.871,0.223,4.6,0.366,0.4,52,14.7,0.39,139
2022,64153,양석환,7.20%,22.60%,0.32,0.309,0.432,0.742,0.188,3,0.276,0,54,2,0.337,104
2022,76232,양의지,11.80%,9.40%,1.25,0.38,0.48,0.86,0.197,2.4,0.274,-0.1,82,22.6,0.388,138
2022,78756,오선진,5.90%,16.70%,0.35,0.328,0.34,0.667,0.063,2,0.33,-0.8,32,-4,0.314,89
2022,68904,오영수,8.50%,22.40%,0.38,0.309,0.359,0.668,0.121,2.1,0.288,-2.2,26,-3.8,0.312,87
2022,64504,오윤석,10.10%,20.50%,0.49,0.322,0.343,0.665,0.108,1.8,0.281,-0.2,35,-4.5,0.314,89
2022,75334,오재일,10.60%,24.80%,0.43,0.345,0.491,0.837,0.223,1.9,0.325,-0.3,79,17,0.372,127
2022,79109,오지환,10.90%,18.80%,0.58,0.357,0.47,0.827,0.2,5.6,0.296,0.8,86,20.2,0.377,130
2022,60558,오태곤,5.10%,23.10%,0.22,0.293,0.342,0.635,0.11,6.5,0.294,0.4,26,-8.1,0.295,76
2022,61102,유강남,7.20%,20.90%,0.35,0.326,0.351,0.677,0.096,1.7,0.314,-0.3,50,-4.5,0.318,92
2022,71564,이대호,7.30%,9.50%,0.77,0.379,0.502,0.881,0.17,0.5,0.334,-0.4,99,29.8,0.396,143
2022,76849,이명기,8.80%,16.40%,0.54,0.328,0.313,0.642,0.057,4.4,0.313,-0.9,33,-6.6,0.306,83
2022,74163,이용규,13.80%,12.90%,1.07,0.326,0.221,0.548,0.022,4.7,0.234,1.4,25,-12.9,0.28,66
2022,75566,이원석,9.90%,20.90%,0.47,0.346,0.417,0.763,0.149,0.8,0.313,-0.2,44,4.8,0.349,112
2022,76812,이재원,9.00%,15.80%,0.57,0.296,0.278,0.574,0.077,2.8,0.228,0.1,21,-11.6,0.277,64
2022,68106,이재원,7.10%,30.40%,0.23,0.316,0.453,0.769,0.229,5.3,0.278,0.1,33,3.6,0.349,112
