year,player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2021,64498,구준범,삼성,22.5,1,0,0,0,0,,2.00,2,2,3,1,1,5,5,2.5
2021,61365,김대우,삼성,6.35,31,0,2,0,1,0,51.00,68,7,15,2,27,39,36,1.63
2021,68403,김무신,삼성,6.63,20,0,0,0,1,,19.00,25,2,17,1,25,18,14,2.21
2021,62920,노건우,삼성,4.74,16,0,2,0,1,0,19.00,10,2,14,1,19,10,10,1.26
2021,69439,라이블리,삼성,4.05,6,0,1,0,0,0,33.33,23,4,13,5,38,16,15,1.08
2021,51439,몽고메리,삼성,5.37,11,2,5,0,0,0.286,52.00,46,3,38,4,55,33,31,1.62
2021,67419,문용익,삼성,4.5,22,2,0,0,2,1,22.00,21,3,10,1,19,11,11,1.41
2021,65844,박세웅,삼성,9,4,0,0,0,0,,3.00,5,1,3,1,2,4,3,2.67
2021,77446,백정현,삼성,2.63,27,14,5,0,0,0.737,157.66,142,15,54,2,109,54,46,1.24
2021,50404,뷰캐넌,삼성,3.1,30,16,5,0,0,0.762,177.00,173,13,59,2,162,71,61,1.31
2021,61411,심창민,삼성,5.08,59,3,2,0,16,0.6,51.33,47,8,32,6,58,32,29,1.54
2021,68415,양창섭,삼성,6.6,9,1,1,0,1,0.5,15.00,21,3,8,0,13,11,11,1.93
2021,75421,오승환,삼성,2.03,64,0,2,44,0,0,62.00,56,3,16,2,57,17,14,1.16
2021,73117,우규민,삼성,3.31,60,3,3,2,24,0.5,49.00,58,5,9,2,35,22,18,1.37
2021,69446,원태인,삼성,3.06,26,14,7,0,0,0.667,158.66,147,11,51,5,129,59,54,1.25
2021,63960,이상민,삼성,4.74,30,1,1,0,3,0.5,24.66,28,2,14,0,14,15,13,1.7
2021,50464,이승민,삼성,8.58,11,1,4,0,0,0.2,35.66,50,6,18,3,22,34,34,1.91
2021,51454,이승현,삼성,5.26,41,1,4,0,7,0.2,39.33,35,3,23,3,46,24,23,1.47
2021,60146,이승현,삼성,9.53,21,1,1,0,1,0.5,17.00,30,6,8,0,7,18,18,2.24
2021,63492,이재익,삼성,4.5,11,2,0,0,0,1,10.00,11,1,12,0,5,6,5,2.3
2021,51460,이재희,삼성,5.4,5,0,1,0,0,0,21.66,24,2,10,0,17,13,13,1.57
2021,61457,임현준,삼성,6.55,27,1,2,0,5,0.333,11.00,11,0,7,4,8,8,8,1.64
2021,77927,장필준,삼성,7.27,41,0,0,0,2,,34.66,46,4,27,1,24,30,28,2.11
2021,67421,최지광,삼성,4.91,60,7,1,0,14,0.875,51.33,53,5,27,2,49,30,28,1.56
2021,68419,최채흥,삼성,4.56,26,5,9,0,2,0.357,122.33,143,16,37,2,82,66,62,1.47
2021,50449,허윤동,삼성,12.27,1,0,1,0,0,0,3.66,8,1,1,1,3,6,5,2.45
2021,65496,홍정우,삼성,3.45,15,2,0,0,0,1,15.66,14,3,4,0,12,6,6,1.15
2021,51833,가빌리오,SSG,5.86,15,6,4,0,0,0.6,81.33,88,7,30,6,70,54,53,1.45
2021,51867,김건우,SSG,4.91,6,0,1,0,0,0,11.00,8,1,12,0,7,7,6,1.82
2021,63894,김사윤,SSG,9.87,6,0,1,0,0,0,17.33,20,5,20,4,21,20,19,2.31
2021,76430,김상수,SSG,5.09,50,4,3,6,5,0.571,58.33,71,10,30,1,44,33,33,1.73
2021,76350,김세현,SSG,10.38,5,0,0,0,0,,4.33,9,0,7,0,5,5,5,3.69
2021,65411,김주온,SSG,0,2,0,0,0,0,,2.00,1,0,2,1,3,0,0,1.5
2021,79847,김태훈,SSG,4.97,65,2,4,1,16,0.333,58.00,55,7,38,10,49,35,32,1.6
2021,65343,김택형,SSG,2.39,59,5,1,7,4,0.833,75.33,61,3,42,3,62,23,20,1.37
2021,51834,르위키,SSG,3.77,4,1,0,0,0,1,14.33,15,2,2,0,9,6,6,1.19
2021,62869,문승원,SSG,2.86,9,2,2,0,0,0.5,50.33,42,1,18,2,32,20,16,1.19
2021,64893,박민호,SSG,3.73,40,4,0,0,5,1,41.00,45,3,11,4,19,18,17,1.37
2021,60841,박종훈,SSG,2.82,9,4,2,0,0,0.667,54.33,40,2,17,7,41,19,17,1.05
2021,64896,서동민,SSG,5.13,20,0,0,0,0,,26.33,27,5,17,1,24,15,15,1.67
2021,61895,서진용,SSG,3.34,65,7,5,9,3,0.583,67.33,57,9,43,0,62,28,25,1.49
2021,62937,신재영,SSG,5.72,20,0,0,0,0,,28.33,35,3,2,4,27,18,18,1.31
2021,75138,신재웅,SSG,4.32,8,0,0,0,0,,8.33,6,0,5,0,9,4,4,1.32
2021,50859,오원석,SSG,5.89,33,7,6,0,2,0.538,110.00,125,11,73,10,95,84,72,1.8
2021,64861,이건욱,SSG,11.37,5,0,1,0,0,0,12.66,16,4,19,1,5,16,16,2.76
2021,68896,이채호,SSG,7.2,3,0,0,0,0,,5.00,8,2,3,0,3,7,4,2.2
2021,60768,이태양,SSG,5.73,40,5,10,0,4,0.333,103.66,123,25,32,1,62,66,66,1.5
2021,51895,장지훈,SSG,3.92,60,2,5,1,10,0.286,80.33,84,6,19,4,51,40,35,1.28
2021,66858,정동윤,SSG,0,1,0,0,0,0,,2.00,1,0,1,0,0,0,0,1
2021,66960,정수민,SSG,6.82,10,1,2,0,0,0.333,30.33,34,6,27,1,22,24,23,2.01
2021,62056,정영일,SSG,9,1,0,0,0,0,,2.00,4,1,0,0,0,2,2,2
2021,51897,조병현,SSG,8.1,3,0,0,0,0,,6.66,7,1,5,1,8,7,6,1.8
2021,51809,조요한,SSG,7.71,6,0,0,0,1,,7.00,10,0,9,0,4,6,6,2.71
2021,64768,조이현,SSG,5.67,30,4,8,1,0,0.333,66.66,74,10,26,0,48,46,42,1.5
2021,68856,최민준,SSG,5.86,38,3,3,0,4,0.5,86.00,93,11,50,7,62,56,56,1.66
2021,51863,폰트,SSG,3.46,25,8,5,0,0,0.615,145.66,114,12,45,6,157,66,56,1.09
2021,69813,하재훈,SSG,4,18,1,0,0,2,1,18.00,16,1,16,3,8,8,8,1.78
2022,68220,곽빈,두산,3.78,27,8,9,0,0,0.471,147.66,143,13,60,11,138,69,62,1.37
2022,50203,권휘,두산,5.79,10,0,0,0,1,,9.33,8,1,5,1,5,6,6,1.39
2022,77263,김강률,두산,4.38,26,3,4,9,1,0.429,24.66,28,2,8,2,15,13,12,1.46
2022,51230,김동주,두산,7.56,10,0,0,0,0,,16.66,23,5,9,0,13,14,14,1.92
2022,67246,김명신,두산,3.62,68,3,3,0,10,0.5,79.66,75,5,25,3,61,33,32,1.26
2022,60181,김지용,두산,6.05,18,1,0,0,0,1,19.33,19,5,5,1,13,14,13,1.24
2022,51257,미란다,두산,8.22,3,0,0,0,0,,7.66,2,0,18,1,8,7,7,2.61
2022,68249,박신지,두산,6.71,29,1,6,0,0,0.143,61.66,84,7,40,5,38,50,46,2.01
2022,50205,박웅,두산,3,8,0,0,0,0,,6.00,7,0,7,0,3,3,2,2.33
2022,65639,박정수,두산,3.2,13,1,1,0,0,0.5,19.66,17,1,9,1,18,7,7,1.32
2022,67266,박치국,두산,5.4,15,1,2,0,3,0.333,11.66,6,0,9,3,12,8,7,1.29
2022,52257,브랜든,두산,3.6,11,5,3,0,0,0.625,65.00,56,5,24,1,40,29,26,1.23
2022,52234,스탁,두산,3.6,29,9,10,0,0,0.474,165.00,162,9,83,10,138,87,66,1.48
2022,62242,윤명준,두산,8.46,20,1,1,0,0,0.5,22.33,33,8,8,1,15,24,21,1.84
2022,52204,이병헌,두산,3.6,9,0,0,0,0,,5.00,5,0,7,1,5,2,2,2.4
2022,64805,이승진,두산,6.61,35,3,1,0,2,0.75,31.33,35,5,12,1,29,25,23,1.5
2022,66291,이영하,두산,4.93,21,6,8,0,0,0.429,98.66,109,5,57,6,83,65,54,1.68
2022,76329,이현승,두산,6.23,23,1,0,0,2,1,8.66,13,2,4,1,9,6,6,1.96
2022,62951,이형범,두산,4.35,31,0,1,0,0,0,31.00,34,1,11,4,17,17,15,1.45
2022,78352,임창민,두산,3.95,32,0,0,2,6,,27.33,26,3,10,3,21,15,12,1.32
2022,74513,장원준,두산,3.71,27,0,1,0,6,0,17.00,23,0,7,1,7,8,7,1.76
2022,69204,전루건,두산,19.29,9,0,0,0,0,,9.33,17,2,8,0,3,20,20,2.68
2022,68242,정철원,두산,3.1,58,4,3,3,23,0.571,72.66,60,4,26,2,47,26,25,1.18
2022,51264,최승용,두산,5.3,48,3,7,0,5,0.3,93.33,104,8,43,2,64,59,55,1.58
2022,67263,최원준,두산,3.6,30,8,13,0,0,0.381,165.00,183,21,37,7,113,80,66,1.33
2022,52206,최지강,두산,21.6,2,0,0,0,0,,1.66,6,0,2,0,2,4,4,4.8
2022,61643,홍건희,두산,3.48,58,2,9,18,9,0.182,62.00,58,5,21,2,60,30,24,1.27
2022,50705,강재민,한화,4.21,56,4,8,7,7,0.333,51.33,44,7,29,4,39,26,24,1.42
2022,51713,김규연,한화,5.27,12,0,0,0,1,,13.66,16,2,12,0,11,11,8,2.05
2022,51715,김기중,한화,6,5,0,2,0,0,0,12.00,14,4,11,1,8,10,8,2.08
2022,65764,김민우,한화,4.36,29,6,11,0,0,0.353,163.00,143,16,84,8,129,82,79,1.39
2022,65769,김범수,한화,4.36,78,3,7,0,27,0.3,66.00,64,5,35,3,58,36,32,1.5
2022,66741,김재영,한화,5.4,30,0,2,0,1,0,30.00,33,1,12,7,16,25,18,1.5
2022,63765,김종수,한화,4.4,52,3,4,1,6,0.429,45.00,39,5,21,2,45,30,22,1.33
2022,50720,남지민,한화,6.37,22,2,11,0,0,0.154,89.00,109,9,45,3,41,68,63,1.73
2022,52707,라미레즈,한화,4.13,13,2,6,0,0,0.25,65.33,52,4,37,7,47,33,30,1.36
2022,64029,류희운,한화,8.49,15,0,1,0,0,0,11.66,15,2,7,2,10,11,11,1.89
2022,52701,문동주,한화,5.65,13,1,3,0,2,0.25,28.66,28,5,14,1,36,19,18,1.47
2022,67703,박상원,한화,2.25,14,0,0,0,4,,12.00,11,0,6,0,16,4,3,1.42
2022,69762,박윤철,한화,4.59,11,0,3,0,0,0,33.33,41,5,23,2,16,22,17,1.92
2022,61156,송윤준,한화,6.23,3,0,0,0,0,,4.33,3,0,2,2,3,3,3,1.15
2022,60140,신정락,한화,4.02,44,2,1,1,4,0.667,47.00,52,4,16,7,23,25,21,1.45
2022,63464,윤대경,한화,7.53,25,4,9,0,0,0.308,75.33,106,6,17,7,51,63,63,1.63
2022,69213,윤산흠,한화,2.67,37,1,1,0,3,0.5,33.66,23,1,30,2,46,12,10,1.57
2022,63961,윤호솔,한화,4.04,52,3,5,0,7,0.375,42.33,43,2,28,0,33,26,19,1.68
2022,65616,이민우,한화,6.25,25,1,1,0,0,0.5,44.66,60,3,17,3,23,33,31,1.72
2022,68797,이승관,한화,10.13,7,0,0,0,0,,5.33,8,0,4,1,3,6,6,2.25
2022,63749,이충호,한화,9.64,5,1,0,0,0,1,4.66,7,1,5,1,4,5,5,2.57
2022,62611,임준섭,한화,2.45,5,0,0,0,0,,3.66,5,0,1,1,0,1,1,1.64
2022,79764,장민재,한화,3.55,32,7,8,0,0,0.467,126.66,124,15,39,4,75,54,50,1.29
2022,77318,장시환,한화,4.38,64,0,5,14,9,0,63.66,57,4,33,1,67,37,31,1.41
2022,74857,정우람,한화,2.95,23,0,1,1,7,0,18.33,23,1,6,0,20,8,6,1.58
2022,65707,주현상,한화,6.83,49,0,1,1,3,0,55.33,69,5,14,5,33,43,42,1.5
2022,51722,카펜터,한화,2.5,4,0,1,0,0,0,18.00,19,1,6,1,15,6,5,1.39
2022,50815,킹험,한화,2.76,3,1,2,0,0,0.333,16.33,15,1,5,1,18,6,5,1.22
2022,52720,페냐,한화,3.72,13,5,4,0,0,0.556,67.66,63,4,30,4,72,33,28,1.37
2022,50726,한승주,한화,6.32,7,0,0,0,0,,15.66,25,0,4,3,12,11,11,1.85
2022,63628,고영창,KIA,1.88,27,0,1,0,0,0,24.00,24,2,10,3,9,5,5,1.42
2022,69620,김기훈,KIA,1.04,5,0,0,0,0,,8.66,4,0,7,0,9,1,1,1.27
2022,69745,김도현,KIA,7.59,5,0,1,0,0,0,10.66,17,2,5,1,11,9,9,2.06
2022,63894,김사윤,KIA,7,31,3,0,0,2,1,27.00,23,2,24,4,23,21,21,1.74
2022,68659,김유신,KIA,6.14,10,1,0,0,0,1,14.66,9,3,16,0,9,11,10,1.7
2022,64580,김재열,KIA,6.07,47,1,2,1,5,0.333,43.00,45,5,22,1,36,33,29,1.56
2022,69516,김현수,KIA,4.5,1,0,0,0,0,,2.00,3,0,1,0,1,1,1,2
2022,66630,김현준,KIA,5.52,12,0,1,0,0,0,14.66,19,0,5,2,9,14,9,1.64
2022,66660,남하준,KIA,8.71,11,1,1,0,1,0.5,10.33,18,4,6,1,6,11,10,2.32
2022,52637,놀린,KIA,2.47,21,8,8,0,0,0.5,124.00,115,7,24,8,108,41,34,1.12
2022,52645,로니,KIA,5.89,10,3,3,0,0,0.5,44.33,47,7,28,3,32,36,29,1.69
2022,63638,박준표,KIA,5.4,34,1,0,0,8,1,23.33,27,4,10,8,11,15,14,1.59
2022,67606,송후섭,KIA,162,1,0,0,0,0,,,4,0,1,1,0,6,6,15
2022,77637,양현종,KIA,3.85,30,12,7,0,0,0.632,175.33,170,14,50,3,141,86,75,1.25
2022,67640,유승철,KIA,7.58,21,3,0,0,0,1,19.00,21,5,16,0,14,20,16,1.95
2022,68619,윤중현,KIA,5.03,47,3,1,0,5,0.75,53.66,63,4,14,5,27,32,30,1.43
2022,51668,이승재,KIA,0,1,0,0,0,0,,1.00,0,0,0,1,1,0,0,0
2022,51648,이의리,KIA,3.86,29,10,10,0,0,0.5,154.00,128,18,74,9,161,79,66,1.31
2022,51648,이의리,KIA,3.86,29,10,10,0,0,0.5,154.00,128,18,74,9,161,79,66,1.31
2022,65665,이준영,KIA,2.91,75,1,1,1,17,0.5,46.33,41,3,26,0,42,17,15,1.45
2022,62754,임기영,KIA,4.24,26,4,13,1,0,0.235,129.33,137,18,36,5,82,63,61,1.34
2022,50641,장재혁,KIA,6,3,0,0,0,0,,3.00,3,0,3,0,4,2,2,2
2022,69645,장지수,KIA,0,1,0,0,0,0,,2.00,2,0,1,0,1,0,0,1.5
2022,63950,장현식,KIA,3.12,54,2,3,1,19,0.4,52.00,54,4,26,1,40,20,18,1.54
2022,66609,전상현,KIA,3.3,50,5,5,2,16,0.5,46.33,42,2,16,0,53,20,17,1.25
2022,50662,정해영,KIA,3.38,55,3,7,32,0,0.3,56.00,54,3,18,0,43,21,21,1.29
2022,52639,최지민,KIA,13.5,6,0,0,0,0,,6.00,12,1,5,1,7,9,9,2.83
2022,52606,파노니,KIA,2.72,14,3,4,0,0,0.429,82.66,78,5,24,2,73,33,25,1.23
2022,61666,한승혁,KIA,5.27,24,4,3,0,0,0.571,80.33,100,4,40,6,69,52,47,1.74
2022,78247,홍상삼,KIA,5.82,24,2,1,0,1,0.667,21.66,19,3,15,1,19,16,14,1.57
2022,50360,김동혁,키움,4.73,24,2,1,0,3,0.667,26.66,28,0,11,1,18,14,14,1.46
2022,66018,김선기,키움,5.15,26,3,1,1,4,0.75,36.66,39,1,19,2,30,24,21,1.58
2022,51301,김성진,키움,7.89,23,0,2,0,2,0,21.66,31,3,10,3,16,25,19,1.89
2022,67391,김재웅,키움,2.01,65,3,2,13,27,0.6,62.66,39,4,29,4,56,14,14,1.09
2022,51393,김준형,키움,2.03,12,0,1,0,0,0,13.33,9,0,13,2,6,3,3,1.65
2022,62360,김태훈,키움,3.14,43,3,2,9,10,0.6,43.00,40,3,20,2,34,18,15,1.4
2022,52394,노운현,키움,11.25,5,0,1,0,0,0,4.00,10,0,3,1,3,7,5,3.25
2022,60336,문성현,키움,3.27,45,0,1,13,9,0,41.33,34,3,14,1,32,16,15,1.16
2022,66305,박승주,키움,4.32,27,1,0,0,0,1,25.00,20,3,21,3,22,12,12,1.64
2022,69328,박주성,키움,5.54,11,1,1,0,0,0.5,13.00,11,4,7,3,8,9,8,1.38
2022,52391,송정인,키움,22.5,1,0,0,0,0,,2.00,4,0,3,0,0,5,5,3.5
2022,68341,안우진,키움,2.11,30,15,8,0,0,0.652,196.00,131,4,55,4,224,51,46,0.95
2022,52308,애플러,키움,4.3,33,6,8,0,0,0.429,140.33,172,13,40,6,86,69,67,1.51
2022,61268,양현,키움,5.15,25,3,2,2,5,0.6,36.66,39,4,17,1,14,23,21,1.53
2022,69343,요키시,키움,2.57,30,10,8,0,0,0.556,185.33,169,8,33,5,154,61,53,1.09
2022,69399,윤정현,키움,6.35,17,1,1,0,4,0.5,22.66,27,2,12,5,17,17,16,1.72
2022,52397,이명종,키움,5.27,27,4,1,0,4,0.8,27.33,28,3,16,2,20,17,16,1.61
2022,67603,이승호,키움,3.58,53,3,2,10,10,0.6,50.33,44,7,27,3,44,20,20,1.41
2022,64051,이영준,키움,4.29,26,2,2,0,4,0.5,21.00,27,0,13,2,16,12,10,1.9
2022,51359,장재영,키움,7.71,14,0,0,0,0,,14.00,23,2,7,1,19,12,12,2.14
2022,78148,정찬헌,키움,5.36,20,5,6,0,0,0.455,87.33,106,13,28,6,42,55,52,1.53
2022,52330,주승우,키움,10.8,4,0,0,0,0,,3.33,5,1,7,0,4,5,4,3.6
2022,65320,최원태,키움,3.75,26,7,5,0,0,0.583,105.66,93,5,40,5,63,50,44,1.26
2022,64350,하영민,키움,3.43,41,5,3,0,2,0.625,39.33,35,4,21,0,23,27,15,1.42
2022,62363,한현희,키움,4.75,21,6,4,0,0,0.6,77.66,83,9,24,8,59,44,41,1.38
2022,64001,고영표,KT,3.26,28,13,8,0,0,0.619,182.33,191,7,23,16,156,69,66,1.17
2022,68043,김민,KT,2.35,6,0,0,0,2,,7.66,4,1,2,1,8,2,2,0.78
2022,65048,김민수,KT,1.9,76,5,4,3,30,0.556,80.66,66,3,15,6,91,19,17,1
2022,65062,김재윤,KT,3.26,61,9,7,33,0,0.563,66.33,46,5,21,0,78,26,24,1.01
2022,66064,김태오,KT,4.15,5,0,0,0,0,,4.33,9,0,0,0,5,2,2,2.08
2022,50040,데스파이네,KT,4.53,30,8,12,0,0,0.4,163.00,198,14,48,9,123,94,82,1.51
2022,50040,데스파이네,KT,4.53,30,8,12,0,0,0.4,163.00,198,14,48,9,123,94,82,1.51
2022,60559,박시영,KT,4.6,17,0,2,0,5,0,15.66,19,2,4,0,11,8,8,1.47
2022,52060,박영현,KT,3.66,52,0,1,0,2,0,51.66,46,5,20,0,55,23,21,1.28
2022,65516,배제성,KT,4.21,24,3,9,0,0,0.25,107.00,103,8,46,1,89,56,50,1.39
2022,52043,벤자민,KT,2.7,17,5,4,0,0,0.556,96.66,75,11,24,4,77,34,29,1.02
2022,50030,소형준,KT,3.05,27,13,6,0,0,0.684,171.33,158,8,39,5,117,68,58,1.15
2022,64017,심재민,KT,3.74,44,4,1,0,6,0.8,43.33,41,4,16,2,21,19,18,1.32
2022,73738,안영명,KT,2.7,4,0,0,0,0,,3.33,3,0,0,0,1,1,1,0.9
2022,65056,엄상백,KT,2.95,33,11,2,0,0,0.846,140.33,125,14,46,4,139,52,46,1.22
2022,52063,이상우,KT,2.7,2,0,0,0,0,,3.33,3,0,2,0,1,1,1,1.5
2022,67048,이정현,KT,2.45,3,0,0,0,0,,3.66,3,1,4,1,1,1,1,1.91
2022,65057,이창재,KT,33.75,4,0,1,0,0,0,1.33,5,0,2,1,2,5,5,5.25
2022,68896,이채호,KT,2.95,38,5,0,0,3,1,36.66,28,0,13,6,32,13,12,1.12
2022,75340,전유수,KT,8.18,8,0,0,0,0,,11.00,17,1,5,0,2,10,10,2
2022,64047,조현우,KT,4.5,19,0,0,0,2,,12.00,14,0,4,4,5,8,6,1.5
2022,65060,주권,KT,3.91,58,3,3,1,15,0.5,50.66,58,3,8,0,31,22,22,1.3
2022,51060,지명성,KT,4.5,2,0,0,0,0,,2.00,3,0,0,1,1,1,1,1.5
2022,69032,쿠에바스,KT,2.45,2,1,0,0,0,1,11.00,2,1,5,1,8,3,3,0.64
2022,78517,하준호,KT,8.27,20,0,1,0,0,0,16.33,16,2,16,1,15,16,15,1.96
2022,51143,강효종,LG,3.6,1,1,0,0,0,1,5.00,5,0,4,0,4,2,2,1.8
2022,67119,고우석,LG,1.48,61,4,2,42,0,0.667,60.66,37,6,21,1,80,12,10,0.96
2022,60337,김대유,LG,2.04,59,2,1,0,13,0.667,39.66,35,2,15,8,36,11,9,1.26
2022,68130,김영준,LG,1.86,2,0,0,0,0,,9.66,8,1,4,3,7,2,2,1.24
2022,50157,김윤식,LG,3.31,23,8,5,0,0,0.615,114.33,125,5,27,1,81,46,42,1.33
2022,52140,김주완,LG,0,1,0,0,0,0,,1.00,1,0,1,0,0,0,0,2
2022,75867,김진성,LG,3.1,67,6,3,0,12,0.667,58.00,44,6,22,1,54,21,20,1.14
2022,63145,배재준,LG,2.3,17,0,1,0,0,0,31.33,22,0,15,4,23,11,8,1.18
2022,65109,백승현,LG,10.8,12,0,1,0,1,0,10.00,15,2,9,0,3,13,12,2.4
2022,67143,손주영,LG,4.97,3,0,1,0,0,0,12.66,10,0,8,3,8,7,7,1.42
2022,51111,송승기,LG,5.4,7,0,1,0,0,0,8.33,9,1,6,0,10,5,5,1.8
2022,73801,송은범,LG,4.05,25,1,1,0,2,0.5,26.66,29,3,10,0,13,13,12,1.46
2022,67116,오석주,LG,2.45,4,0,0,0,0,,3.66,4,1,0,0,2,1,1,1.09
2022,50126,이민호,LG,5.51,26,12,8,0,0,0.6,119.33,146,14,43,7,73,77,73,1.58
2022,61145,이우찬,LG,1.81,36,5,0,0,2,1,44.66,29,2,21,1,42,10,9,1.12
2022,69134,이정용,LG,3.34,65,4,4,1,22,0.5,59.33,53,3,18,2,40,26,22,1.2
2022,69108,이지강,LG,4.91,4,0,0,0,0,,11.00,12,0,13,0,6,6,6,2.27
2022,69113,임준형,LG,6,10,1,3,0,1,0.25,30.00,36,2,14,3,26,22,20,1.67
2022,61101,임찬규,LG,5.04,23,6,11,0,0,0.353,103.66,113,10,39,7,75,60,58,1.47
2022,69159,정우영,LG,2.64,67,2,3,0,35,0.4,58.00,48,3,32,6,40,18,17,1.38
2022,52149,조원태,LG,0,2,0,0,0,0,,4.00,1,0,2,1,0,0,0,0.75
2022,76650,진해수,LG,2.4,64,4,0,0,12,1,45.00,39,1,11,1,35,13,12,1.11
2022,65241,채원후,LG,0,3,0,0,0,1,,3.00,1,0,0,1,2,0,0,0.33
2022,79140,최동환,LG,4.14,47,0,1,0,0,0,50.00,45,5,17,1,30,23,23,1.24
2022,62146,최성훈,LG,2.16,45,0,0,0,6,,33.33,23,1,13,3,22,10,8,1.08
2022,69103,켈리,LG,2.54,27,16,4,0,0,0.8,166.33,144,10,35,2,153,50,47,1.08
2022,69103,켈리,LG,2.54,27,16,4,0,0,0.8,166.33,144,10,35,2,153,50,47,1.08
2022,52145,플럿코,LG,2.39,28,15,5,0,0,0.75,162.00,125,13,38,2,149,53,43,1.01
2022,52145,플럿코,LG,2.39,28,15,5,0,0,0.75,162.00,125,13,38,2,149,53,43,1.01
2022,63248,함덕주,LG,2.13,13,0,0,0,0,,12.66,9,0,11,1,13,3,3,1.58
2022,52119,허준혁,LG,9.64,6,0,0,0,0,,4.66,11,3,2,0,4,6,5,2.79
2022,79358,강윤구,롯데,5.48,29,0,0,0,0,,21.33,25,0,6,1,27,17,13,1.45
2022,63543,구승민,롯데,2.9,73,2,4,0,26,0.333,62.00,46,3,35,1,77,20,20,1.31
2022,78536,김대우,롯데,4.5,10,0,0,0,1,,10.00,6,0,8,0,8,5,5,1.4
2022,68585,김도규,롯데,3.71,55,4,4,3,8,0.5,51.00,48,2,19,4,45,26,21,1.31
2022,50573,김민기,롯데,67.5,1,0,0,0,0,,,6,1,1,0,0,5,5,10.5
2022,62528,김원중,롯데,3.98,43,2,3,17,2,0.4,43.00,40,4,16,0,60,21,19,1.3
2022,64596,김유영,롯데,5.65,68,6,2,0,13,0.75,51.00,73,4,30,3,44,34,32,2.02
2022,51516,김진욱,롯데,6.36,14,2,5,0,0,0.286,46.66,43,3,35,8,52,36,33,1.67
2022,51586,김창훈,롯데,5.4,1,0,0,0,0,,1.66,3,0,0,0,2,1,1,1.8
2022,67539,나균안,롯데,3.98,39,3,8,0,2,0.273,117.66,125,5,37,3,123,55,52,1.38
2022,67454,나원탁,롯데,9,7,0,0,0,0,,6.00,9,1,5,2,8,7,6,2.33
2022,65643,문경찬,롯데,5.8,38,1,2,0,1,0.333,40.33,51,7,13,1,31,27,26,1.59
