year,player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2021,63123,강승호,두산,113,10,8,2,80,3,0
2021,79290,국해성,두산,4,0,0,0,,0,0
2021,68204,권민석,두산,33,0,0,0,,0,0
2021,50203,권휘,두산,2,0,0,0,,0,0
2021,77263,김강률,두산,8,0,0,0,,0,0
2021,67246,김명신,두산,4,0,0,0,,0,0
2021,68200,김민규,두산,2,0,0,0,,0,0
2021,65269,김민혁,두산,6,0,0,0,,0,0
2021,63257,김인태,두산,133,2,0,2,0,4,1
2021,74206,김재호,두산,89,2,1,1,50,2,0
2021,78224,김재환,두산,137,5,2,3,40,4,1
2021,69104,남호,두산,1,0,0,0,,0,0
2021,67259,문원,두산,1,0,0,0,,0,0
2021,79215,박건우,두산,126,13,13,0,100,6,0
2021,79215,박건우,두산,126,13,13,0,100,6,0
2021,64468,박계범,두산,118,7,4,3,57.1,4,0
2021,51298,박성재,두산,1,0,0,0,,0,0
2021,62244,박세혁,두산,96,6,4,2,66.7,1,0
2021,63292,박소준,두산,1,0,0,0,,0,0
2021,50204,박지훈,두산,34,4,3,1,75,1,0
2021,67266,박치국,두산,1,0,0,0,,0,0
2021,63559,백동훈,두산,5,0,0,0,,0,0
2021,66203,서예일,두산,5,0,0,0,,0,0
2021,64086,신성현,두산,11,0,0,0,,1,0
2021,50202,안권수,두산,87,3,3,0,100,0,0
2021,51203,안재석,두산,96,1,1,0,100,1,2
2021,64153,양석환,두산,133,5,2,3,40,6,0
2021,50208,오명진,두산,2,0,0,0,,0,0
2021,77248,오재원,두산,45,2,2,0,100,0,2
2021,62242,윤명준,두산,4,0,0,0,,0,0
2021,69205,이교훈,두산,2,0,0,0,,0,0
2021,64805,이승진,두산,1,0,0,0,,0,0
2021,66291,이영하,두산,1,0,0,0,,0,0
2021,63202,장승현,두산,92,0,0,0,,4,0
2021,68205,전민재,두산,9,0,0,0,,0,0
2021,79231,정수빈,두산,104,19,12,7,63.2,1,3
2021,66209,조수행,두산,115,25,21,4,84,2,1
2021,64213,최용제,두산,79,0,0,0,,0,0
2021,69209,페르난데스,두산,141,2,0,2,0,4,0
2021,79240,허경민,두산,136,12,5,7,41.7,2,0
2021,61643,홍건희,두산,1,0,0,0,,0,0
2021,66207,황경태,두산,1,0,0,0,,0,0
2021,66710,강상원,한화,35,3,3,0,100,1,1
2021,50705,강재민,한화,2,0,0,0,,0,0
2021,69702,김건,한화,5,0,0,0,,0,0
2021,67711,김기탁,한화,1,0,0,0,,0,0
2021,61554,김민하,한화,46,9,6,3,66.7,3,1
2021,63765,김종수,한화,1,0,0,0,,0,0
2021,65503,김지수,한화,11,0,0,0,,0,0
2021,71752,김태균,한화,1,0,0,0,,0,0
2021,66704,김태연,한화,53,8,5,3,62.5,2,1
2021,63704,노수광,한화,52,14,13,1,92.9,5,1
2021,69737,노시환,한화,107,7,5,2,71.4,4,2
2021,64704,노태형,한화,18,0,0,0,,0,0
2021,66707,박상언,한화,1,0,0,0,,0,0
2021,50709,박정현,한화,33,1,1,0,100,1,0
2021,78643,백용환,한화,39,0,0,0,,1,0
2021,61156,송윤준,한화,1,0,0,0,,0,0
2021,51767,송호정,한화,10,0,0,0,,0,1
2021,60140,신정락,한화,1,0,0,0,,0,0
2021,69766,유로결,한화,34,3,2,1,66.7,1,0
2021,63464,윤대경,한화,1,0,0,0,,0,0
2021,63961,윤호솔,한화,1,0,0,0,,0,0
2021,65703,이도윤,한화,56,3,1,2,33.3,0,0
2021,64266,이성곤,한화,62,3,0,3,0,0,0
2021,73136,이성열,한화,46,1,1,0,100,3,0
2021,66702,이시원,한화,33,4,2,2,50,1,0
2021,68700,이원석,한화,43,6,4,2,66.7,2,0
2021,60343,이해창,한화,20,1,0,1,0,0,0
2021,50704,임종찬,한화,42,1,0,1,0,1,0
2021,62611,임준섭,한화,1,0,0,0,,0,0
2021,51762,장규현,한화,7,0,0,0,,0,0
2021,79764,장민재,한화,1,0,0,0,,0,0
2021,63700,장운호,한화,103,9,3,6,33.3,4,2
2021,51706,장지승,한화,24,2,2,0,100,1,0
2021,51764,정민규,한화,6,0,0,0,,0,0
2021,74857,정우람,한화,4,0,0,0,,0,0
2021,68743,정은원,한화,139,30,19,11,63.3,6,1
2021,61208,정진호,한화,47,5,4,1,80,2,0
2021,69705,조한민,한화,52,5,3,2,60,1,1
2021,50707,최인호,한화,49,3,2,1,66.7,1,0
2021,78288,최재훈,한화,116,5,3,2,60,7,0
2021,51714,페레즈,한화,59,9,4,5,44.4,2,0
2021,62700,하주석,한화,138,29,23,6,79.3,6,2
2021,69706,허관회,한화,28,0,0,0,,1,1
2021,51725,힐리,한화,67,3,2,1,66.7,2,0
2021,61700,강경학,KIA,25,1,1,0,100,1,0
2021,51640,권다결,KIA,5,0,0,0,,0,0
2021,66614,김규성,KIA,54,1,0,1,0,0,0
2021,62864,김민식,KIA,100,0,0,0,,5,0
2021,67610,김석환,KIA,5,0,0,0,,0,0
2021,78603,김선빈,KIA,130,0,0,0,,4,0
2021,64984,김태진,KIA,99,13,8,5,61.5,2,0
2021,65653,김호령,KIA,62,5,4,1,80,1,2
2021,73209,나주환,KIA,19,0,0,0,,0,0
2021,78629,나지완,KIA,31,0,0,0,,0,0
2021,62234,류지혁,KIA,92,0,0,0,,0,0
2021,50657,박민,KIA,18,1,0,1,0,0,0
2021,67609,박정우,KIA,32,2,0,2,0,1,0
2021,64646,박찬호,KIA,131,13,9,4,69.2,7,0
2021,69636,오선우,KIA,9,0,0,0,,0,0
2021,68614,오정환,KIA,9,0,0,0,,0,0
2021,62265,유민상,KIA,24,0,0,0,,0,0
2021,63260,이우성,KIA,65,3,2,1,66.7,2,0
2021,67644,이정훈,KIA,41,0,0,0,,2,0
2021,66657,이진영,KIA,17,1,1,0,100,0,0
2021,64560,이창진,KIA,105,5,5,0,100,4,1
2021,63950,장현식,KIA,1,0,0,0,,0,0
2021,50662,정해영,KIA,3,0,0,0,,0,0
2021,66606,최원준,KIA,143,53,40,13,75.5,6,4
2021,62893,최정민,KIA,39,5,2,3,40,0,0
2021,65464,최정용,KIA,53,2,2,0,100,1,0
2021,72443,최형우,KIA,104,0,0,0,,6,0
2021,69652,터커,KIA,127,0,0,0,,4,1
2021,63722,한승택,KIA,82,0,0,0,,1,0
2021,65610,황대인,KIA,86,0,0,0,,0,0
2021,62908,황윤호,KIA,6,0,0,0,,0,0
2021,50393,김동욱,키움,1,0,0,0,,0,0
2021,50304,김병휘,키움,13,0,0,0,,0,0
2021,67828,김성민,키움,5,0,0,0,,0,0
2021,51301,김성진,키움,3,0,0,0,,0,0
2021,68346,김수환,키움,13,0,0,0,,0,0
2021,65898,김웅빈,키움,97,2,1,1,50,6,0
2021,65304,김은성,키움,6,0,0,0,,0,0
2021,67391,김재웅,키움,3,0,0,0,,0,0
2021,62332,김재현,키움,39,1,0,1,0,0,0
2021,65392,김정인,키움,3,0,0,0,,0,0
2021,69306,김주형,키움,36,1,1,0,100,0,0
2021,62360,김태훈,키움,5,0,0,0,,0,0
2021,67304,김혜성,키움,144,50,46,4,92,4,1
2021,51344,김휘집,키움,34,1,1,0,100,1,0
2021,60336,문성현,키움,1,0,0,0,,0,0
2021,50365,문찬종,키움,13,0,0,0,,0,0
2021,50397,박관진,키움,1,0,0,0,,0,0
2021,79365,박동원,키움,131,2,2,0,100,4,0
2021,75125,박병호,키움,118,1,0,1,0,0,0
2021,66305,박승주,키움,1,0,0,0,,0,0
2021,62353,박정음,키움,70,6,4,2,66.7,0,0
2021,50357,박주홍,키움,23,2,1,1,50,0,0
2021,64657,박준태,키움,27,1,1,0,100,2,0
2021,68305,변상권,키움,72,0,0,0,,1,0
2021,65357,송성문,키움,66,0,0,0,,2,0
2021,65362,송우현,키움,69,2,1,1,50,2,0
2021,50312,신준우,키움,56,1,0,1,0,3,0
2021,61268,양현,키움,4,0,0,0,,0,0
2021,68330,예진원,키움,52,1,0,1,0,2,0
2021,74359,오주원,키움,2,0,0,0,,0,0
2021,69399,윤정현,키움,1,0,0,0,,0,0
2021,69366,이명기,키움,3,0,0,0,,0,0
2021,67603,이승호,키움,3,0,0,0,,0,0
2021,74163,이용규,키움,133,19,17,2,89.5,3,0
2021,67341,이정후,키움,123,13,10,3,76.9,2,1
2021,51302,이주형,키움,5,0,0,0,,0,0
2021,79456,이지영,키움,108,4,3,1,75,3,1
2021,64340,임지열,키움,19,1,0,1,0,0,0
2021,51359,장재영,키움,1,0,0,0,,0,0
2021,65586,전병우,키움,115,4,3,1,75,0,0
2021,63342,조상우,키움,4,0,0,0,,0,0
2021,69360,조영건,키움,1,0,0,0,,0,0
2021,51309,크레익,키움,61,1,0,1,0,1,0
2021,51324,프레이타스,키움,43,0,0,0,,1,0
2021,65399,허정협,키움,29,0,0,0,,0,0
2021,64906,강민국,KT,18,0,0,0,,1,0
2021,68050,강백호,KT,142,15,10,5,66.7,10,2
2021,68069,고명성,KT,7,0,0,0,,0,0
2021,64001,고영표,KT,1,0,0,0,,0,0
2021,51003,권동진,KT,86,6,3,3,50,5,0
2021,51005,김건형,KT,11,1,1,0,100,0,0
2021,65048,김민수,KT,6,0,0,0,,0,0
2021,64004,김민혁,KT,75,9,6,3,66.7,3,0
2021,64014,김병희,KT,34,3,3,0,100,0,0
2021,65062,김재윤,KT,8,0,0,0,,0,0
2021,62558,김준태,KT,58,0,0,0,,0,0
2021,65040,김태훈,KT,44,1,1,0,100,0,0
2021,64007,문상철,KT,53,2,2,0,100,0,1
2021,73113,박경수,KT,118,1,0,1,0,3,0
2021,62802,박승욱,KT,8,1,1,0,100,0,0
2021,60559,박시영,KT,3,0,0,0,,0,0
2021,64166,배정대,KT,144,26,19,7,73.1,2,0
2021,64012,송민섭,KT,122,16,15,1,93.8,0,0
2021,62556,신본기,KT,96,3,1,2,33.3,2,1
2021,64006,심우준,KT,139,22,16,6,72.7,3,1
2021,64017,심재민,KT,3,0,0,0,,0,0
2021,73738,안영명,KT,1,0,0,0,,0,0
2021,51004,알몬테,KT,60,1,1,0,100,2,0
2021,64504,오윤석,KT,97,4,4,0,100,1,0
2021,76757,유원상,KT,1,0,0,0,,0,0
2021,74339,유한준,KT,104,1,1,0,100,1,0
2021,67008,이대은,KT,1,0,0,0,,0,0
2021,65057,이창재,KT,1,0,0,0,,0,0
2021,63634,이홍구,KT,37,0,0,0,,0,0
2021,78548,장성우,KT,127,3,1,2,33.3,3,0
2021,64868,조용호,KT,138,21,12,9,57.1,1,0
2021,64047,조현우,KT,3,0,0,0,,0,0
2021,50054,천성호,KT,41,1,1,0,100,0,0
2021,78517,하준호,KT,2,0,0,0,,0,0
2021,77243,허도환,KT,62,0,0,0,,3,0
2021,68730,호잉,KT,68,7,5,2,71.4,1,0
2021,67005,홍현빈,KT,43,1,0,1,0,3,0
2021,76313,황재균,KT,117,15,11,4,73.3,4,0
2021,67119,고우석,LG,5,0,0,0,,0,0
2021,69100,구본혁,LG,123,0,0,0,,0,0
2021,77564,김민성,LG,121,6,3,3,50,3,1
2021,78217,김용의,LG,102,6,6,0,100,2,1
2021,65132,김재성,LG,58,1,1,0,100,0,0
2021,66162,김주성,LG,3,0,0,0,,0,0
2021,60181,김지용,LG,1,0,0,0,,0,0
2021,51154,김진수,LG,1,0,0,0,,0,0
2021,76290,김현수,LG,140,3,3,0,100,5,1
2021,66113,김호은,LG,7,0,0,0,,0,0
2021,50165,라모스,LG,51,0,0,0,,2,0
2021,63103,류원석,LG,1,0,0,0,,0,0
2021,69102,문보경,LG,107,4,3,1,75,1,0
2021,68119,문성주,LG,31,2,1,1,50,1,1
2021,51144,보어,LG,32,0,0,0,,0,0
2021,78168,서건창,LG,144,16,12,4,75,3,0
2021,50150,손호영,LG,8,0,0,0,,0,0
2021,65207,신민재,LG,32,3,2,1,66.7,1,1
2021,65115,안익훈,LG,48,0,0,0,,0,0
2021,79109,오지환,LG,134,18,12,6,66.7,6,2
2021,61102,유강남,LG,130,2,2,0,100,2,2
2021,65117,이상규,LG,3,0,0,0,,0,0
2021,69168,이상영,LG,3,0,0,0,,0,0
2021,60566,이상호,LG,45,3,2,1,66.7,0,0
2021,71184,이성우,LG,36,0,0,0,,1,0
2021,51100,이영빈,LG,72,9,6,3,66.7,2,0
2021,61145,이우찬,LG,1,0,0,0,,0,0
2021,68106,이재원,LG,62,6,5,1,83.3,5,0
2021,69134,이정용,LG,1,0,0,0,,0,0
2021,50167,이주형,LG,14,3,2,1,66.7,0,0
2021,67164,이찬혁,LG,1,0,0,0,,0,0
2021,61186,이천웅,LG,68,5,3,2,60,0,0
2021,78135,이형종,LG,90,4,3,1,75,2,0
2021,64115,장준원,LG,5,0,0,0,,0,0
2021,79150,정주현,LG,73,6,3,3,50,1,0
2021,76650,진해수,LG,2,0,0,0,,0,0
2021,65241,채원후,LG,4,0,0,0,,0,0
2021,79192,채은성,LG,110,6,4,2,66.7,2,3
2021,65157,최민창,LG,3,0,0,0,,0,0
2021,62146,최성훈,LG,5,0,0,0,,0,0
2021,64101,한석현,LG,16,2,2,0,100,1,0
2021,66108,홍창기,LG,144,31,23,8,74.2,5,3
2021,65515,강로한,롯데,21,0,0,0,,0,0
2021,79358,강윤구,롯데,1,0,0,0,,0,0
2021,65514,강태율,롯데,19,1,0,1,0,0,0
2021,67504,김민수,롯데,82,0,0,0,,4,1
2021,62528,김원중,롯데,3,0,0,0,,0,0
2021,64596,김유영,롯데,2,0,0,0,,0,0
2021,65506,김재유,롯데,87,7,7,0,100,0,1
2021,66749,김주현,롯데,8,0,0,0,,0,0
2021,67539,나균안,롯데,1,0,0,0,,0,0
2021,51551,나승엽,롯데,60,1,1,0,100,0,0
2021,67454,나원탁,롯데,1,0,0,0,,0,0
2021,50506,마차도,롯데,134,13,8,5,61.5,8,1
2021,76249,민병헌,롯데,14,1,0,1,0,1,0
2021,64501,배성근,롯데,78,1,1,0,100,2,0
2021,51528,손성빈,롯데,20,0,0,0,,0,0
2021,77532,손아섭,롯데,139,17,11,6,64.7,7,0
2021,51594,송재영,롯데,1,0,0,0,,0,0
2021,69508,신윤후,롯데,71,4,3,1,75,3,0
2021,64022,안중열,롯데,58,0,0,0,,0,1
2021,79608,안치홍,롯데,119,9,3,6,33.3,4,0
2021,79293,오현택,롯데,1,0,0,0,,0,0
2021,71564,이대호,롯데,114,0,0,0,,3,0
2021,76100,이병규,롯데,29,0,0,0,,0,0
2021,64565,이인복,롯데,1,0,0,0,,0,0
2021,51560,이주찬,롯데,3,0,0,0,,0,0
2021,68504,이호연,롯데,7,0,0,0,,0,0
2021,68507,장두성,롯데,43,6,4,2,66.7,0,1
2021,78513,전준우,롯데,144,9,6,3,66.7,4,0
2021,68518,정보근,롯데,11,1,0,1,0,0,0
2021,60523,정훈,롯데,135,9,8,1,88.9,13,2
2021,64717,지시완,롯데,73,0,0,0,,1,0
2021,63895,최민재,롯데,21,2,2,0,100,1,0
2021,51574,최종은,롯데,1,0,0,0,,0,0
2021,68362,추재현,롯데,95,7,4,3,57.1,1,1
2021,68525,한동희,롯데,129,1,0,1,0,2,0
2021,62925,강진성,NC,124,12,9,3,75,7,0
2021,63963,권희동,NC,55,2,2,0,100,1,0
2021,60339,김건태,NC,1,0,0,0,,0,0
2021,65462,김기환,NC,62,19,15,4,78.9,3,3
2021,67900,김수윤,NC,7,0,0,0,,0,0
2021,68900,김영규,NC,1,0,0,0,,0,0
2021,51907,김주원,NC,69,8,6,2,75,1,0
2021,63920,김준완,NC,13,0,0,0,,0,0
2021,75867,김진성,NC,1,0,0,0,,0,0
2021,78122,김태군,NC,102,1,0,1,0,1,0
2021,67956,김태현,NC,1,0,0,0,,0,0
2021,62947,나성범,NC,144,3,1,2,33.3,0,0
2021,69996,노시훈,NC,1,0,0,0,,0,0
2021,62931,노진혁,NC,107,2,1,1,50,0,1
2021,66965,도태훈,NC,77,1,1,0,100,0,0
2021,65949,류진욱,NC,1,0,0,0,,0,0
2021,78813,모창민,NC,3,1,0,1,0,0,0
2021,64944,박대온,NC,42,0,0,0,,0,0
2021,62907,박민우,NC,50,15,12,3,80,3,0
2021,74465,박석민,NC,59,0,0,0,,1,0
2021,50996,박시원,NC,1,0,0,0,,0,0
2021,66928,박준영,NC,111,7,4,3,57.1,2,1
2021,69974,배민서,NC,2,0,0,0,,0,0
2021,68902,신민혁,NC,1,0,0,0,,0,0
2021,50901,안인산,NC,2,0,0,0,,0,0
2021,50923,알테어,NC,143,25,20,5,80,5,0
2021,76232,양의지,NC,141,3,2,1,66.7,6,0
2021,51991,오장한,NC,1,0,0,0,,0,0
2021,51996,오태양,NC,1,0,0,0,,0,0
2021,76118,원종현,NC,4,0,0,0,,0,0
2021,63905,윤형준,NC,51,1,0,1,0,2,0
2021,76849,이명기,NC,56,9,6,3,66.7,2,0
2021,77211,이용찬,NC,6,0,0,0,,0,0
2021,65964,이우석,NC,1,0,0,0,,0,0
2021,62025,이원재,NC,31,1,1,0,100,0,0
2021,66968,이재율,NC,23,2,1,1,50,2,0
2021,63959,임정호,NC,1,0,0,0,,0,0
2021,78352,임창민,NC,1,0,0,0,,0,0
2021,78361,전민수,NC,71,0,0,0,,1,0
2021,76720,정범모,NC,19,0,0,0,,0,0
2021,61869,정진기,NC,88,9,6,3,66.7,0,0
2021,63450,정현,NC,68,1,0,1,0,0,2
2021,73306,지석훈,NC,28,0,0,0,,0,0
2021,62966,최금강,NC,1,0,0,0,,0,0
2021,68909,최보성,NC,10,1,0,1,0,1,0
2021,65905,최승민,NC,48,7,4,3,57.1,0,1
2021,66963,최우재,NC,2,0,0,0,,0,0
2021,69992,최정원,NC,72,17,10,7,58.8,1,1
2021,62655,홍성민,NC,2,0,0,0,,0,0
2021,74540,강민호,삼성,123,0,0,0,,5,0
2021,64610,강한울,삼성,124,4,2,2,50,4,0
2021,62404,구자욱,삼성,139,31,27,4,87.1,6,0
2021,65412,권정웅,삼성,2,0,0,0,,0,0
2021,69442,김도환,삼성,25,1,0,1,0,0,0
2021,66838,김동엽,삼성,69,3,2,1,66.7,2,0
2021,68403,김무신,삼성,2,0,0,0,,0,0
2021,64793,김민수,삼성,47,0,0,0,,2,0
2021,79402,김상수,삼성,132,6,4,2,66.7,5,1
2021,67449,김성윤,삼성,30,1,0,1,0,0,0
2021,63435,김성표,삼성,39,3,2,1,66.7,0,1
2021,60288,김응민,삼성,1,0,0,0,,0,0
2021,50458,김지찬,삼성,120,27,23,4,85.2,4,1
2021,61404,김헌곤,삼성,118,9,5,4,55.6,0,1
2021,51417,김현준,삼성,13,0,0,0,,0,0
2021,64407,김호재,삼성,87,0,0,0,,0,0
2021,62920,노건우,삼성,2,0,0,0,,0,0
2021,67419,문용익,삼성,1,0,0,0,,0,0
2021,69418,박승규,삼성,59,2,1,1,50,1,0
2021,62415,박해민,삼성,127,51,36,15,70.6,4,2
2021,64410,백승민,삼성,4,0,0,0,,0,0
2021,64469,송준석,삼성,19,0,0,0,,0,0
2021,66406,안주형,삼성,1,0,0,0,,0,0
2021,78756,오선진,삼성,23,0,0,0,,0,0
2021,75421,오승환,삼성,2,0,0,0,,0,0
2021,75334,오재일,삼성,120,1,1,0,100,3,1
2021,75566,이원석,삼성,131,1,1,0,100,2,0
2021,63492,이재익,삼성,1,0,0,0,,0,0
2021,68466,이태훈,삼성,3,0,0,0,,0,0
2021,69453,이학주,삼성,66,4,2,2,50,2,0
2021,61197,최영진,삼성,44,1,1,0,100,1,0
2021,51463,피렐라,삼성,140,15,9,6,60,5,0
2021,51868,고명준,SSG,3,0,0,0,,0,0
2021,61353,고종욱,SSG,88,5,2,3,40,3,0
2021,71837,김강민,SSG,122,6,3,3,50,3,0
2021,69810,김규남,SSG,4,0,0,0,,0,0
2021,76430,김상수,SSG,3,0,0,0,,0,0
2021,76802,김성현,SSG,110,7,5,2,71.4,2,0
2021,66917,김찬형,SSG,88,0,0,0,,0,0
2021,69825,김창평,SSG,40,3,2,1,66.7,0,0
2021,79847,김태훈,SSG,1,0,0,0,,0,0
2021,65343,김택형,SSG,3,0,0,0,,0,0
2021,66052,남태혁,SSG,12,0,0,0,,0,0
2021,67872,로맥,SSG,107,1,1,0,100,6,0
2021,64893,박민호,SSG,1,0,0,0,,0,0
2021,67893,박성한,SSG,135,17,12,5,70.6,3,0
2021,64896,서동민,SSG,1,0,0,0,,0,0
2021,61895,서진용,SSG,5,0,0,0,,0,0
2021,62937,신재영,SSG,1,0,0,0,,0,0
2021,66864,안상현,SSG,37,4,3,1,75,1,0
2021,61743,오준혁,SSG,26,0,0,0,,0,0
2021,60558,오태곤,SSG,122,13,9,4,69.2,0,0
2021,64890,유서준,SSG,6,0,0,0,,0,0
2021,76812,이재원,SSG,107,2,0,2,0,2,0
2021,67807,이정범,SSG,19,0,0,0,,0,0
2021,65869,이현석,SSG,39,0,0,0,,2,0
2021,63440,이흥련,SSG,90,0,0,0,,0,0
2021,51895,장지훈,SSG,2,0,0,0,,0,0
2021,71842,정상호,SSG,3,0,0,0,,0,0
2021,66960,정수민,SSG,1,0,0,0,,0,0
2021,75151,정의윤,SSG,62,0,0,0,,0,0
2021,51809,조요한,SSG,1,0,0,0,,0,0
2021,75847,최정,SSG,134,14,8,6,57.1,5,0
2021,76267,최주환,SSG,116,3,2,1,66.7,3,1
2021,50854,최지훈,SSG,136,32,26,6,81.3,4,2
2021,62884,최항,SSG,34,1,1,0,100,0,0
2021,51817,추신수,SSG,137,34,25,9,73.5,4,0
2021,69813,하재훈,SSG,2,0,0,0,,0,0
2021,62895,한유섬,SSG,135,1,1,0,100,4,0
2022,63123,강승호,두산,134,18,13,5,72.2,2,1
2022,62925,강진성,두산,40,4,4,0,100,1,0
2022,51269,강현구,두산,3,0,0,0,,0,0
2022,68204,권민석,두산,16,0,0,0,,0,0
2022,77263,김강률,두산,5,0,0,0,,0,0
2022,69238,김대한,두산,51,3,2,1,66.7,2,0
2022,51230,김동주,두산,1,0,0,0,,0,0
2022,67246,김명신,두산,3,0,0,0,,0,0
2022,65269,김민혁,두산,38,0,0,0,,0,0
2022,63257,김인태,두산,83,1,1,0,100,3,0
2022,74206,김재호,두산,102,2,0,2,0,3,0
2022,78224,김재환,두산,128,3,2,1,66.7,5,0
2022,60181,김지용,두산,3,0,0,0,,0,0
2022,69207,김태근,두산,2,1,0,1,0,0,0
2022,64468,박계범,두산,77,8,5,3,62.5,3,0
2022,62244,박세혁,두산,128,4,2,2,50,4,0
2022,68249,박신지,두산,1,0,0,0,,0,0
2022,67202,박유연,두산,13,0,0,0,,0,0
2022,65639,박정수,두산,1,0,0,0,,0,0
2022,66203,서예일,두산,35,0,0,0,,1,0
2022,69203,송승환,두산,11,0,0,0,,0,1
2022,64086,신성현,두산,17,1,1,0,100,0,0
2022,50202,안권수,두산,76,7,3,4,42.9,3,0
2022,64011,안승한,두산,30,0,0,0,,1,0
2022,51203,안재석,두산,99,4,4,0,100,4,0
2022,64153,양석환,두산,107,1,1,0,100,4,0
2022,50293,양찬열,두산,41,0,0,0,,1,0
2022,77248,오재원,두산,18,3,1,2,33.3,0,0
2022,62242,윤명준,두산,1,0,0,0,,0,0
2022,64805,이승진,두산,1,0,0,0,,0,0
2022,67207,이유찬,두산,13,2,1,1,50,0,0
2022,78352,임창민,두산,3,0,0,0,,0,0
2022,63202,장승현,두산,60,0,0,0,,0,0
2022,74513,장원준,두산,1,0,0,0,,0,0
2022,68205,전민재,두산,35,3,3,0,100,1,0
2022,79231,정수빈,두산,127,23,15,8,65.2,4,1
2022,68242,정철원,두산,2,0,0,0,,0,0
2022,66209,조수행,두산,117,29,22,7,75.9,2,0
2022,64213,최용제,두산,1,0,0,0,,0,0
2022,69209,페르난데스,두산,139,0,0,0,,5,0
2022,79240,허경민,두산,121,13,10,3,76.9,6,1
2022,61643,홍건희,두산,7,0,0,0,,0,0
2022,66233,홍성호,두산,12,0,0,0,,0,0
2022,66710,강상원,한화,1,0,0,0,,0,0
2022,52769,권광민,한화,32,1,0,1,0,0,0
2022,65764,김민우,한화,1,0,0,0,,0,0
2022,65769,김범수,한화,1,0,0,0,,0,0
2022,66715,김인환,한화,113,2,2,0,100,6,0
2022,66704,김태연,한화,119,5,3,2,60,6,0
2022,63704,노수광,한화,117,23,17,6,73.9,8,3
2022,69737,노시환,한화,115,8,6,2,75,2,1
2022,64029,류희운,한화,2,0,0,0,,0,0
2022,66707,박상언,한화,56,3,0,3,0,0,0
2022,50709,박정현,한화,81,7,6,1,85.7,3,0
2022,78643,백용환,한화,4,0,0,0,,0,0
2022,69727,변우혁,한화,21,0,0,0,,0,0
2022,60140,신정락,한화,1,0,0,0,,0,0
2022,67760,원혁재,한화,11,0,0,0,,0,0
2022,69766,유로결,한화,30,0,0,0,,2,0
2022,52705,유상빈,한화,17,1,0,1,0,0,1
2022,63961,윤호솔,한화,1,0,0,0,,0,0
2022,65703,이도윤,한화,80,5,3,2,60,2,0
2022,64266,이성곤,한화,41,2,1,1,50,1,0
2022,68700,이원석,한화,20,0,0,0,,0,0
2022,66657,이진영,한화,70,4,2,2,50,2,0
2022,60343,이해창,한화,4,0,0,0,,0,0
2022,50704,임종찬,한화,20,1,0,1,0,0,0
2022,77318,장시환,한화,3,0,0,0,,0,0
2022,63700,장운호,한화,57,2,0,2,0,1,0
2022,66706,장진혁,한화,41,3,2,1,66.7,1,0
2022,51764,정민규,한화,9,0,0,0,,1,0
2022,68743,정은원,한화,140,16,10,6,62.5,4,0
2022,65707,주현상,한화,2,0,0,0,,0,0
2022,78288,최재훈,한화,114,2,1,1,50,1,0
2022,52712,터크먼,한화,144,30,19,11,63.3,2,1
2022,62700,하주석,한화,125,26,20,6,76.9,7,0
2022,69706,허관회,한화,15,1,1,0,100,0,0
2022,52764,허인서,한화,8,0,0,0,,0,0
2022,61353,고종욱,KIA,62,1,1,0,100,1,0
2022,51640,권다결,KIA,2,0,0,0,,0,0
2022,66614,김규성,KIA,70,0,0,0,,1,0
